current_level,accuracy,response_time,total_attempts,later_attempts,later_mistakes,previous_score,difficulty_change
2,31.61,91.61,9,3,1,65.36,HARDER
1,98.8,34.31,2,0,0,75.85,HARDER
4,28.37,175.86,20,5,0,78.79,HARDER
1,100.0,38.33,2,0,0,56.22,SAME
3,30.26,93.95,12,0,0,82.0,HARDER
4,27.72,250.0,21,6,4,76.28,EASIER
4,25.0,154.6,23,8,4,75.62,SAME
4,25.03,231.85,19,4,3,62.05,EASIER
1,99.5,22.78,2,0,0,63.63,SAME
3,29.41,108.56,15,3,1,62.95,SAME
4,29.08,99.04,15,0,0,86.43,HARDER
2,44.49,63.53,7,1,0,96.01,HARDER
2,41.05,75.0,7,1,1,60.26,SAME
4,25.0,228.86,21,6,4,61.79,EASIER
5,25.0,251.99,23,5,2,63.57,EASIER
2,46.8,72.14,7,1,0,47.66,SAME
5,32.53,222.84,23,5,1,54.65,SAME
1,100.0,27.61,2,0,0,90.35,HARDER
1,48.74,32.3,4,2,0,71.91,HARDER
3,25.0,130.26,17,5,0,44.53,SAME
5,29.63,187.41,21,3,3,81.84,EASIER
1,61.27,41.99,3,1,0,68.58,HARDER
3,25.0,190.52,18,6,2,66.79,SAME
4,32.81,174.4,17,2,2,65.65,EASIER
3,29.58,104.71,13,1,1,72.1,EASIER
1,100.0,33.91,2,0,0,85.19,HARDER
3,29.15,113.23,14,2,0,76.98,HARDER
4,25.0,183.34,18,3,3,48.9,EASIER
5,25.0,155.6,21,3,2,74.14,EASIER
3,27.45,151.03,15,3,2,60.22,EASIER
3,27.5,147.22,14,2,2,70.8,EASIER
1,62.23,20.0,3,1,0,60.53,SAME
5,25.0,259.55,23,5,1,62.11,EASIER
3,25.0,169.39,19,7,2,54.26,SAME
4,26.68,173.16,19,4,1,62.9,SAME
4,29.31,139.13,19,4,0,78.24,HARDER
5,34.15,155.28,19,1,1,76.23,EASIER
5,31.82,234.37,22,4,2,58.7,EASIER
5,34.25,242.28,20,2,2,49.73,EASIER
5,25.0,260.81,24,6,3,68.73,EASIER
3,35.55,86.82,13,1,0,72.82,HARDER
1,98.16,25.67,2,0,0,92.55,HARDER
4,25.0,147.54,20,5,0,72.34,HARDER
4,31.88,134.13,17,2,2,54.8,EASIER
4,29.73,163.03,19,4,3,57.72,EASIER
4,30.88,129.04,17,2,0,85.27,HARDER
1,93.42,43.82,2,0,0,62.76,SAME
1,41.4,36.78,5,3,0,72.43,HARDER
4,36.3,84.52,15,0,0,100.0,HARDER
3,28.05,81.14,14,2,0,53.56,SAME
2,39.51,84.59,7,1,1,75.62,EASIER
3,25.5,86.69,13,1,0,82.16,HARDER
2,26.27,93.87,12,6,1,50.73,SAME
1,97.91,25.17,2,0,0,100.0,HARDER
4,30.08,101.42,16,1,0,64.57,SAME
1,37.61,56.96,5,3,1,58.36,SAME
4,29.48,157.17,19,4,1,95.12,SAME
1,65.12,48.36,3,1,1,62.16,SAME
1,96.07,21.16,2,0,0,82.55,HARDER
4,32.8,106.94,17,2,0,72.66,HARDER
3,28.65,114.09,14,2,0,70.36,HARDER
1,59.4,62.77,3,1,1,45.14,SAME
1,39.74,72.52,6,4,3,47.46,SAME
5,25.0,268.59,28,10,6,60.72,EASIER
2,40.09,72.88,8,2,1,79.04,EASIER
5,26.88,240.42,24,6,4,58.69,EASIER
3,25.0,127.47,16,4,1,74.47,SAME
5,26.88,240.14,24,6,3,63.06,EASIER
4,26.99,139.21,16,1,1,66.14,EASIER
4,29.36,167.14,19,4,3,54.38,EASIER
4,31.3,128.28,17,2,1,61.17,EASIER
1,68.88,35.74,3,1,0,44.17,SAME
5,26.93,205.31,22,4,2,53.43,EASIER
2,51.38,47.16,6,0,0,76.46,HARDER
4,37.2,163.55,16,1,1,66.79,EASIER
4,37.1,177.06,16,1,1,67.27,EASIER
2,43.3,55.19,6,0,0,100.0,HARDER
4,29.89,204.59,21,6,2,74.92,SAME
2,50.3,55.79,6,0,0,81.82,HARDER
2,52.91,56.33,6,0,0,89.3,HARDER
2,47.32,51.99,7,1,0,57.41,SAME
5,29.06,150.47,18,0,0,63.25,SAME
4,36.96,99.16,15,0,0,74.79,HARDER
4,29.4,134.41,18,3,1,67.49,SAME
3,32.44,68.72,12,0,0,94.77,HARDER
2,47.83,60.32,6,0,0,81.3,HARDER
4,29.24,189.85,17,2,1,52.44,EASIER
3,35.65,86.49,13,1,0,82.23,HARDER
1,100.0,20.0,2,0,0,68.78,HARDER
5,25.0,140.84,24,6,1,65.38,SAME
2,49.57,49.3,6,0,0,86.52,HARDER
5,28.96,286.88,22,4,4,50.62,EASIER
5,29.44,161.33,20,2,1,83.43,EASIER
1,98.51,26.63,2,0,0,90.87,HARDER
2,39.89,64.27,8,2,0,62.88,EASIER
5,30.58,204.71,21,3,1,65.4,EASIER
1,40.04,29.74,5,3,0,45.09,SAME
4,25.0,132.09,18,3,1,77.24,SAME
3,25.0,164.77,17,5,2,64.82,EASIER
4,28.97,133.44,17,2,2,68.65,EASIER
2,52.35,57.06,6,0,0,88.19,HARDER
5,26.33,142.85,22,4,1,70.03,SAME
2,47.02,67.32,6,0,0,61.31,SAME
4,25.0,250.0,26,11,6,55.77,EASIER
3,27.93,130.28,14,2,0,54.55,SAME
1,98.63,20.52,2,0,0,88.24,HARDER
5,29.44,229.7,23,5,0,71.82,SAME
4,28.77,210.96,18,3,1,62.61,EASIER
1,26.78,77.75,7,5,0,64.88,SAME
2,51.67,40.88,6,0,0,93.91,HARDER
4,25.0,188.68,23,8,5,57.09,EASIER
5,25.0,300.0,26,8,6,49.06,EASIER
1,100.0,27.93,2,0,0,78.32,HARDER
1,99.13,20.0,2,0,0,87.01,HARDER
5,36.89,153.88,19,1,1,100.0,EASIER
5,34.41,184.67,18,0,0,72.02,SAME
4,25.0,147.16,20,5,1,46.81,SAME
1,63.94,50.2,3,1,0,66.38,HARDER
5,25.69,244.11,25,7,4,45.7,EASIER
5,32.54,245.26,21,3,1,50.94,EASIER
1,100.0,34.07,2,0,0,71.81,HARDER
1,100.0,24.5,2,0,0,87.7,HARDER
1,39.73,46.58,6,4,1,58.44,SAME
1,93.19,36.86,2,0,0,62.56,SAME
2,51.33,63.16,6,0,0,89.48,HARDER
5,25.0,243.65,25,7,4,58.07,EASIER
5,34.68,156.34,18,0,0,90.89,SAME
5,26.31,215.79,24,6,2,72.06,SAME
5,26.82,197.7,23,5,2,80.22,EASIER
2,51.82,49.79,6,0,0,76.46,HARDER
5,25.0,232.82,23,5,1,66.02,SAME
3,31.73,88.19,14,2,1,86.98,EASIER
4,28.07,140.11,17,2,1,69.08,EASIER
3,29.92,96.5,12,0,0,79.36,HARDER
1,98.25,25.97,2,0,0,55.23,SAME
5,36.15,163.87,18,0,0,87.08,SAME
1,100.0,25.38,2,0,0,70.77,HARDER
5,25.0,272.08,27,9,3,61.45,EASIER
5,25.0,226.49,27,9,4,52.42,EASIER
3,28.89,145.72,14,2,1,58.39,EASIER
4,25.0,194.7,21,6,3,57.07,EASIER
2,54.19,62.4,6,0,0,73.94,HARDER
1,97.1,44.34,2,0,0,62.86,SAME
5,36.42,236.72,21,3,1,50.2,EASIER
4,28.68,123.21,17,2,1,95.12,EASIER
1,100.0,26.77,2,0,0,91.56,HARDER
4,25.0,189.58,19,4,2,74.45,EASIER
4,25.0,221.25,24,9,4,75.42,EASIER
5,32.83,169.35,20,2,1,63.32,EASIER
1,99.06,21.05,2,0,0,83.99,HARDER
1,69.52,36.98,3,1,0,51.35,SAME
4,25.0,135.62,19,4,3,55.41,EASIER
4,34.15,114.9,15,0,0,41.79,SAME
1,98.37,35.5,2,0,0,73.96,HARDER
2,41.9,51.85,7,1,0,83.42,HARDER
2,39.16,47.53,7,1,0,67.44,HARDER
4,25.0,160.67,19,4,2,74.86,EASIER
3,25.0,145.0,18,6,2,52.09,EASIER
1,42.86,65.01,5,3,1,51.94,SAME
2,29.23,111.14,12,6,2,74.1,SAME
1,42.06,63.81,5,3,1,60.43,SAME
4,25.0,145.82,23,8,1,71.09,HARDER
3,27.34,107.87,14,2,0,68.32,HARDER
1,49.54,62.53,4,2,1,71.75,EASIER
4,30.49,175.57,16,1,0,79.95,HARDER
1,100.0,36.51,2,0,0,65.42,EASIER
1,100.0,31.83,2,0,0,76.62,HARDER
3,26.37,112.39,14,2,1,66.24,EASIER
2,48.3,41.7,6,0,0,86.78,HARDER
5,26.41,175.52,27,9,6,55.97,EASIER
2,25.0,113.94,12,6,2,72.98,SAME
1,100.0,22.19,2,0,0,100.0,HARDER
2,40.53,74.78,7,1,0,60.67,SAME
2,59.5,49.83,6,0,0,92.35,HARDER
4,39.03,94.72,15,0,0,100.0,HARDER
5,32.45,203.62,19,1,0,63.24,SAME
4,25.0,173.28,21,6,2,37.22,EASIER
3,27.72,181.05,17,5,2,67.86,EASIER
5,28.61,207.18,19,1,0,63.84,SAME
4,25.34,183.44,19,4,2,63.65,EASIER
3,25.0,137.94,15,3,2,53.71,EASIER
1,67.19,36.84,3,1,0,75.04,HARDER
4,25.43,189.04,20,5,1,54.74,SAME
1,100.0,29.88,2,0,0,82.42,HARDER
3,25.0,160.44,16,4,2,46.49,EASIER
3,26.64,134.76,14,2,2,58.52,EASIER
1,41.63,63.71,5,3,1,42.31,SAME
1,97.78,20.0,2,0,0,71.14,HARDER
5,29.18,144.16,19,1,1,60.7,EASIER
3,27.99,153.94,14,2,1,62.36,EASIER
3,25.05,122.61,16,4,3,61.54,EASIER
5,25.0,300.0,24,6,3,34.09,EASIER
1,99.17,40.64,2,0,0,65.63,HARDER
2,50.48,74.27,6,0,0,69.27,HARDER
4,25.0,228.33,21,6,5,25.0,SAME
3,30.64,140.14,16,4,1,72.37,SAME
1,99.09,20.0,2,0,0,98.53,HARDER
4,25.0,246.76,23,8,5,39.13,EASIER
4,25.0,182.36,20,5,3,66.66,EASIER
3,35.63,66.21,12,0,0,90.8,HARDER
5,27.15,192.88,22,4,2,72.01,EASIER
2,41.36,70.95,7,1,1,63.96,EASIER
3,27.89,92.28,14,2,2,82.24,EASIER
1,36.98,40.5,6,4,0,61.69,SAME
2,28.87,85.5,9,3,1,72.73,SAME
2,44.68,47.34,6,0,0,89.3,HARDER
4,28.54,210.02,17,2,2,51.98,EASIER
3,27.47,126.89,13,1,0,69.92,HARDER
5,25.0,214.47,21,3,2,63.14,EASIER
5,25.0,234.77,23,5,3,64.57,EASIER
1,100.0,20.0,2,0,0,76.73,HARDER
3,25.98,122.99,13,1,1,70.52,EASIER
1,98.99,28.36,2,0,0,93.03,HARDER
4,25.0,179.02,19,4,2,69.58,EASIER
2,31.48,64.94,9,3,0,59.82,SAME
2,43.02,91.3,7,1,1,71.61,EASIER
3,33.84,87.61,12,0,0,100.0,HARDER
4,25.0,204.56,21,6,3,59.59,EASIER
2,40.09,88.75,8,2,0,46.33,SAME
4,27.69,187.28,17,2,0,72.08,SAME
1,67.05,21.43,3,1,0,95.75,HARDER
3,30.97,160.92,13,1,1,51.96,EASIER
1,95.34,41.16,2,0,0,70.7,HARDER
4,26.34,212.47,20,5,4,47.25,EASIER
1,100.0,34.78,2,0,0,63.97,SAME
2,40.26,56.11,7,1,0,62.41,SAME
