sequence_length,accuracy,response_time,total_attempts,mistakes,previous_score,current_level,difficulty_change
3,90.02,27.87,1,0,90.21,1,HARDER
4,56.95,59.63,3,3,49.75,2,EASIER
5,63.36,74.88,3,3,52.48,3,EASIER
7,40.25,80.22,3,3,34.28,5,EASIER
4,95.3,17.51,1,0,98.18,2,HARDER
4,75.91,24.58,2,2,70.55,2,SAME
5,69.93,41.6,3,2,62.26,3,SAME
7,49.2,74.48,2,3,44.14,5,EASIER
7,54.54,191.17,1,1,58.06,5,EASIER
3,93.48,38.5,1,1,96.96,1,SAME
4,69.71,107.47,2,0,59.89,2,EASIER
7,39.19,73.87,3,3,36.45,5,EASIER
3,95.83,50.89,1,1,95.76,1,HARDER
7,25.74,266.6,5,5,13.92,5,EASIER
4,58.17,34.07,3,2,55.07,2,SAME
7,42.37,144.98,3,4,41.82,5,EASIER
4,72.57,68.08,1,2,70.67,2,SAME
5,71.66,56.33,1,1,74.0,3,SAME
6,51.03,76.39,3,3,42.6,4,EASIER
3,80.39,18.91,2,1,81.57,1,SAME
5,54.39,18.03,2,2,51.13,3,EASIER
5,72.26,60.06,1,1,69.72,3,EASIER
6,59.6,56.69,4,3,52.63,4,EASIER
7,74.97,62.33,2,1,71.67,5,SAME
6,27.84,102.13,5,4,21.92,4,EASIER
5,81.86,28.28,2,2,77.2,3,SAME
5,92.32,86.44,2,1,93.47,3,SAME
5,73.59,73.69,1,2,64.27,3,SAME
7,61.62,90.05,2,1,62.98,5,SAME
4,67.16,36.89,5,3,57.49,2,EASIER
3,78.21,14.72,2,1,74.1,1,SAME
4,93.17,54.07,1,0,95.87,2,SAME
3,87.72,27.17,1,1,89.03,1,HARDER
3,100.0,28.09,1,1,99.73,1,HARDER
3,99.18,31.26,2,1,100.0,1,HARDER
6,83.84,58.71,1,1,83.2,4,SAME
6,59.55,37.22,2,2,56.0,4,SAME
6,65.35,134.9,2,2,61.25,4,SAME
5,62.96,81.56,2,2,59.62,3,SAME
6,50.46,62.07,2,3,46.16,4,EASIER
3,66.17,29.99,4,3,60.87,1,EASIER
7,42.17,222.31,4,3,35.16,5,EASIER
5,42.49,101.91,5,4,31.85,3,EASIER
7,65.01,82.34,3,2,59.21,5,SAME
3,90.85,12.89,1,0,93.89,1,HARDER
5,37.23,30.22,5,4,30.52,3,EASIER
6,66.99,69.73,1,1,63.9,4,SAME
5,44.03,119.62,4,5,39.34,3,EASIER
5,91.49,40.44,1,1,89.72,3,HARDER
3,88.56,19.17,2,1,88.33,1,HARDER
4,76.32,28.44,2,1,73.67,2,SAME
4,85.19,29.6,2,2,81.27,2,SAME
4,61.5,37.8,3,2,55.14,2,SAME
6,57.51,42.14,1,2,54.45,4,SAME
6,44.21,144.11,2,4,35.92,4,EASIER
6,42.89,76.05,2,3,35.65,4,EASIER
4,37.62,121.85,5,4,32.05,2,EASIER
7,62.21,59.08,2,2,59.45,5,EASIER
3,95.98,50.72,1,1,92.15,1,EASIER
4,71.64,73.08,1,1,69.25,2,SAME
3,60.9,20.82,2,2,57.5,1,SAME
4,65.55,31.56,3,3,64.53,2,EASIER
7,40.5,67.79,5,4,29.79,5,EASIER
4,93.17,24.78,1,0,96.85,2,HARDER
7,51.68,111.96,3,4,48.64,5,EASIER
5,58.88,58.6,2,2,55.93,3,SAME
6,64.01,35.64,3,3,60.84,4,EASIER
5,57.54,180.5,3,3,54.59,3,EASIER
4,92.14,33.64,1,1,86.45,2,HARDER
6,52.97,84.85,2,3,49.22,4,EASIER
7,61.65,79.61,2,1,58.93,5,SAME
4,93.55,33.52,1,1,86.43,2,HARDER
6,55.14,68.08,1,2,49.76,4,EASIER
4,77.23,37.95,1,1,79.01,2,SAME
6,53.27,81.38,1,1,51.18,4,EASIER
6,57.65,124.62,1,1,58.88,4,SAME
5,68.31,64.9,2,2,66.1,3,SAME
6,37.18,118.27,3,4,27.13,4,EASIER
4,75.23,37.83,4,1,76.06,2,EASIER
3,100.0,27.71,1,0,100.0,1,HARDER
3,81.57,22.45,2,1,78.56,1,SAME
5,38.79,95.3,5,4,28.34,3,EASIER
7,53.79,133.53,2,3,48.78,5,EASIER
3,99.05,23.3,2,1,95.71,1,HARDER
5,55.87,52.85,5,3,51.02,3,EASIER
6,29.21,77.47,4,4,26.94,4,EASIER
4,59.16,38.55,1,2,59.35,2,SAME
6,60.03,79.63,1,3,57.99,4,EASIER
4,83.53,29.22,1,1,83.66,2,SAME
7,25.64,169.93,3,4,19.17,5,EASIER
5,65.38,87.39,2,3,64.53,3,EASIER
5,51.98,140.25,1,1,47.82,3,EASIER
3,90.09,19.11,1,0,88.08,1,HARDER
5,70.58,80.67,2,1,70.56,3,SAME
7,67.75,39.57,3,2,71.24,5,SAME
3,87.65,36.15,1,0,87.17,1,SAME
6,66.09,38.45,1,2,66.43,4,SAME
5,84.67,35.63,2,0,81.43,3,SAME
6,75.95,97.46,1,1,75.24,4,SAME
6,56.47,59.36,3,3,53.91,4,EASIER
5,66.65,39.85,2,2,66.17,3,SAME
4,95.71,30.26,2,2,91.95,2,SAME
6,37.92,119.84,4,4,30.1,4,EASIER
3,73.75,16.51,1,2,67.43,1,SAME
5,74.89,56.47,1,1,72.94,3,SAME
3,72.52,21.12,3,2,74.58,1,SAME
6,65.77,125.6,3,3,60.41,4,EASIER
6,68.08,127.44,1,1,74.07,4,SAME
3,93.07,11.05,2,1,91.67,1,HARDER
6,30.1,141.2,2,4,26.66,4,EASIER
5,66.32,42.87,2,2,69.91,3,SAME
6,64.38,92.72,4,2,61.84,4,EASIER
3,78.13,16.46,1,1,82.36,1,SAME
3,86.57,29.49,1,0,86.83,1,HARDER
5,74.46,205.07,1,1,72.43,3,EASIER
3,84.33,26.46,1,2,81.77,1,SAME
4,92.61,30.61,1,0,88.14,2,HARDER
6,35.35,72.67,5,5,25.29,4,EASIER
3,89.59,13.0,1,0,86.48,1,HARDER
6,49.01,174.2,4,3,44.55,4,EASIER
3,77.69,28.73,1,1,78.0,1,SAME
3,81.04,15.68,1,1,77.9,1,SAME
5,73.06,35.07,3,2,77.58,3,SAME
6,61.28,82.65,1,1,55.08,4,SAME
3,62.36,37.85,5,4,52.78,1,EASIER
4,87.71,22.12,2,1,88.43,2,HARDER
7,28.54,205.47,5,5,19.97,5,EASIER
7,66.0,106.54,1,2,56.96,5,SAME
5,87.04,36.6,2,2,85.44,3,SAME
5,100.0,46.01,1,0,100.0,3,HARDER
4,53.62,86.44,5,4,48.28,2,EASIER
6,65.34,39.84,1,2,62.22,4,SAME
5,72.17,40.37,3,1,70.63,3,SAME
4,66.74,59.46,2,1,70.27,2,SAME
3,90.24,27.53,3,1,91.86,1,SAME
3,62.98,17.58,4,3,60.73,1,EASIER
7,31.14,189.49,4,4,28.44,5,EASIER
5,62.69,95.73,1,2,59.5,3,SAME
5,52.83,68.34,3,4,47.83,3,EASIER
5,82.98,42.83,2,0,73.47,3,SAME
6,59.77,64.61,3,2,64.41,4,SAME
3,89.15,28.38,1,0,89.3,1,HARDER
3,100.0,13.94,2,0,100.0,1,SAME
4,82.67,70.93,1,0,85.42,2,SAME
5,56.68,134.56,3,2,56.1,3,EASIER
6,50.76,72.53,2,3,45.35,4,EASIER
5,60.21,69.18,2,2,61.19,3,SAME
5,63.0,104.31,1,1,64.01,3,SAME
7,40.42,300.0,1,3,32.51,5,EASIER
3,61.85,49.99,4,2,59.41,1,EASIER
5,59.86,24.57,3,3,55.73,3,EASIER
5,84.69,49.61,1,1,81.91,3,SAME
5,68.42,74.31,2,2,62.1,3,SAME
7,61.67,85.55,4,3,54.34,5,EASIER
4,79.95,87.84,2,0,81.93,2,EASIER
7,35.41,272.19,2,3,29.77,5,EASIER
4,74.97,25.9,3,3,72.03,2,EASIER
5,78.66,53.52,1,1,76.76,3,SAME
5,85.36,40.02,2,1,83.54,3,HARDER
7,65.03,100.7,2,2,59.29,5,SAME
5,70.75,51.88,2,2,65.96,3,SAME
4,100.0,59.51,1,1,98.28,2,SAME
3,96.13,16.84,1,1,89.72,1,HARDER
4,62.61,11.11,5,4,57.33,2,EASIER
7,51.53,46.71,5,4,45.31,5,EASIER
3,85.42,15.82,3,2,77.83,1,SAME
7,44.38,78.35,4,3,39.57,5,EASIER
5,75.69,63.63,1,2,64.46,3,SAME
3,60.79,15.46,2,2,56.41,1,SAME
4,63.7,21.51,1,2,60.96,2,SAME
5,75.71,36.61,1,2,75.46,3,SAME
4,77.89,22.49,1,1,84.33,2,SAME
3,90.21,19.53,1,1,89.29,1,HARDER
6,81.19,60.11,1,1,80.59,4,SAME
6,58.67,117.33,1,2,50.89,4,SAME
3,65.66,16.1,2,1,63.62,1,SAME
4,48.71,32.12,4,3,42.83,2,EASIER
4,73.17,29.41,1,2,65.07,2,SAME
6,54.03,124.88,1,2,56.24,4,EASIER
6,70.48,75.68,1,2,68.82,4,SAME
6,68.16,141.61,3,3,65.3,4,EASIER
7,62.76,59.77,2,2,64.79,5,SAME
6,63.58,79.92,3,2,56.36,4,SAME
4,86.41,28.99,1,1,81.09,2,HARDER
3,69.37,14.49,2,2,70.59,1,SAME
6,80.65,79.17,3,2,74.71,4,SAME
7,45.42,288.0,1,2,44.49,5,EASIER
7,43.54,70.36,5,4,38.43,5,EASIER
4,52.38,35.79,2,2,55.42,2,EASIER
4,83.02,20.51,1,1,86.03,2,SAME
3,88.11,13.06,1,1,91.25,1,HARDER
3,87.06,17.61,1,1,80.56,1,HARDER
5,40.58,46.42,4,4,36.64,3,EASIER
5,79.18,47.45,1,1,80.86,3,SAME
4,83.42,34.17,3,2,80.4,2,SAME
4,100.0,17.51,2,0,98.19,2,HARDER
7,67.14,79.63,3,2,63.77,5,SAME
5,89.6,74.35,1,1,90.72,3,HARDER
7,81.8,53.42,1,1,76.54,5,SAME
7,55.09,92.29,5,3,55.93,5,EASIER
4,66.39,43.61,2,2,57.81,2,SAME
4,58.77,26.31,5,3,52.24,2,EASIER
7,33.13,134.91,3,3,25.0,5,EASIER
6,61.93,37.18,3,2,59.01,4,SAME
4,51.72,57.69,5,4,44.22,2,SAME
6,52.93,99.18,3,2,53.87,4,EASIER
5,73.86,59.62,1,1,71.71,3,SAME
7,6.97,206.75,4,6,0.0,5,EASIER
4,63.0,32.55,1,2,59.64,2,SAME
7,58.41,79.98,3,3,52.98,5,EASIER
7,38.62,236.64,2,3,34.73,5,EASIER
3,70.72,56.71,5,4,60.8,1,EASIER
3,74.23,18.36,3,1,69.88,1,SAME
5,38.55,54.82,4,4,29.23,3,EASIER
3,73.41,39.8,1,0,74.35,1,SAME
4,69.61,36.63,2,1,68.55,2,SAME
5,65.21,77.85,1,1,64.37,3,SAME
7,50.28,171.37,2,3,45.9,5,EASIER
7,44.77,82.44,4,4,40.01,5,EASIER
3,93.33,30.13,1,0,92.06,1,HARDER
7,65.51,111.62,1,1,63.6,5,SAME
3,92.72,14.55,2,0,93.89,1,HARDER
6,60.03,49.01,4,2,54.81,4,EASIER
7,45.77,78.49,2,2,44.25,5,EASIER
7,22.59,185.78,3,4,20.08,5,EASIER
4,53.8,59.71,4,3,49.92,2,EASIER
7,59.39,168.54,1,2,60.75,5,SAME
3,76.79,30.41,2,1,74.98,1,HARDER
5,75.91,71.15,2,1,77.73,3,SAME
5,54.66,66.54,2,2,49.26,3,EASIER
4,100.0,46.02,1,0,100.0,2,HARDER
3,98.16,30.89,1,1,98.38,1,HARDER
6,44.76,39.5,4,4,41.76,4,EASIER
4,68.6,26.21,2,1,68.67,2,SAME
6,68.33,48.02,1,1,71.54,4,SAME
5,86.24,100.33,1,2,85.53,3,SAME
4,62.03,82.68,3,2,59.31,2,EASIER
7,49.6,34.34,2,3,45.47,5,EASIER
3,87.93,50.16,1,1,84.6,1,EASIER
6,27.89,85.78,5,5,19.66,4,EASIER
6,77.28,138.84,1,1,75.35,4,SAME
4,76.02,48.21,3,1,75.25,2,SAME
4,91.02,74.78,1,1,89.12,2,SAME
3,100.0,27.45,1,0,95.91,1,HARDER
7,47.3,53.27,2,2,48.03,5,EASIER
7,35.17,105.73,5,5,21.28,5,HARDER
4,75.13,48.42,2,2,69.57,2,SAME
3,100.0,22.71,1,0,100.0,1,HARDER
3,77.76,33.5,2,1,73.89,1,SAME
3,63.31,24.28,2,2,63.34,1,SAME
7,43.94,80.96,3,4,38.71,5,EASIER
7,58.75,61.97,3,3,55.88,5,EASIER
3,95.86,21.0,1,0,94.66,1,HARDER
6,68.23,91.2,1,2,64.46,4,EASIER
3,78.82,10.45,2,1,79.33,1,SAME
4,80.75,26.34,2,1,79.5,2,SAME
5,62.23,21.59,4,3,56.36,3,EASIER
6,51.39,59.49,4,3,46.82,4,EASIER
7,29.91,215.09,4,4,23.05,5,EASIER
3,82.66,14.75,2,1,77.38,1,SAME
3,62.25,34.18,4,3,58.04,1,EASIER
4,79.82,144.97,2,1,80.43,2,EASIER
4,65.57,75.24,3,2,62.55,2,SAME
7,31.04,120.45,4,4,24.64,5,EASIER
6,91.16,128.14,1,1,90.65,4,EASIER
4,68.99,19.96,2,2,62.94,2,SAME
7,32.17,47.51,4,4,20.27,5,EASIER
5,63.69,58.83,1,1,65.05,3,SAME
5,61.43,70.65,2,3,58.76,3,EASIER
5,81.87,99.7,1,2,72.87,3,SAME
3,72.61,19.41,1,1,70.63,1,SAME
7,49.78,124.45,3,2,46.76,5,EASIER
3,83.44,26.83,1,0,82.13,1,SAME
3,74.07,23.58,2,2,68.45,1,SAME
4,57.87,36.73,2,2,54.7,2,SAME
4,83.51,25.43,1,2,78.21,2,SAME
3,70.88,28.31,1,1,69.23,1,SAME
3,86.73,27.27,1,0,82.61,1,HARDER
6,66.76,65.23,2,2,65.31,4,SAME
7,13.23,160.99,4,4,12.05,5,EASIER
3,96.47,39.5,1,0,96.6,1,SAME
4,61.11,52.25,1,2,60.27,2,SAME
5,89.98,34.62,2,1,87.77,3,HARDER
7,32.36,118.25,5,4,31.02,5,EASIER
6,32.51,51.05,5,4,24.5,4,EASIER
6,57.92,86.22,3,2,50.15,4,SAME
5,67.09,37.01,1,2,59.77,3,SAME
5,46.19,109.14,1,3,39.03,3,EASIER
3,100.0,35.43,1,0,100.0,1,SAME
7,44.34,209.95,2,3,38.92,5,EASIER
7,42.9,198.68,3,3,44.4,5,EASIER
3,88.18,22.16,1,0,88.93,1,HARDER
6,32.86,65.72,5,5,25.68,4,EASIER
3,68.37,54.27,2,2,65.79,1,EASIER
6,50.02,75.25,5,3,49.43,4,EASIER
7,40.64,53.53,5,4,29.57,5,EASIER
3,88.39,39.14,1,0,90.28,1,SAME
5,80.9,62.28,2,1,76.61,3,SAME
3,80.27,48.86,2,1,79.74,1,SAME
5,88.7,65.41,1,0,87.68,3,HARDER
7,79.24,110.79,1,1,78.03,5,SAME
3,99.96,49.3,1,0,100.0,1,SAME
4,88.52,18.44,1,1,89.7,2,HARDER
7,37.89,81.41,3,4,33.38,5,EASIER
4,88.88,25.04,1,0,89.31,2,EASIER
3,84.79,9.41,1,0,86.27,1,SAME
5,75.41,89.36,2,2,72.27,3,SAME
5,80.77,44.01,3,1,80.94,3,SAME
6,65.06,131.3,1,1,67.08,4,SAME
4,57.07,45.63,3,3,58.02,2,EASIER
7,39.2,155.93,5,4,36.73,5,EASIER
5,69.91,46.29,2,2,71.25,3,SAME
4,93.9,26.53,2,0,91.33,2,HARDER
7,63.15,117.62,1,2,62.94,5,SAME
7,35.4,184.83,4,4,30.11,5,EASIER
5,57.05,56.57,4,2,51.61,3,EASIER
3,93.39,18.29,1,0,91.49,1,HARDER
5,34.2,32.04,4,5,30.0,3,EASIER
5,67.58,64.17,1,1,69.02,3,SAME
3,95.18,19.54,2,1,90.35,1,HARDER
6,55.83,79.0,2,2,52.46,4,SAME
7,55.68,98.33,2,2,48.78,5,EASIER
3,66.48,20.51,4,2,62.34,1,EASIER
6,47.36,95.54,3,2,42.31,4,EASIER
3,87.67,32.0,1,0,87.59,1,HARDER
6,33.09,227.84,3,3,30.94,4,EASIER
5,58.6,84.41,1,2,53.22,3,SAME
3,76.2,50.81,3,1,71.67,1,EASIER
7,80.73,71.69,1,2,77.76,5,SAME
3,98.22,12.26,1,0,98.2,1,HARDER
5,78.45,57.59,2,2,71.73,3,SAME
3,100.0,36.62,1,0,100.0,1,SAME
7,47.09,164.13,3,4,38.39,5,EASIER
6,57.5,153.95,2,3,57.09,4,EASIER
7,32.55,28.11,4,5,27.31,5,EASIER
5,81.68,107.84,1,1,83.93,3,SAME
5,65.21,68.48,3,3,60.03,3,EASIER
6,62.43,36.74,1,2,64.04,4,SAME
6,42.54,119.46,4,4,38.08,4,EASIER
7,28.74,122.84,4,5,24.07,5,EASIER
3,88.41,29.62,2,1,90.11,1,HARDER
6,82.52,137.86,1,0,84.92,4,SAME
3,70.15,30.28,2,3,62.18,1,EASIER
4,88.5,19.02,2,0,87.56,2,HARDER
7,48.3,103.6,5,3,44.47,5,EASIER
4,71.21,17.77,1,1,67.42,2,SAME
6,23.62,114.92,4,5,17.5,4,EASIER
5,66.06,115.87,2,2,60.7,3,SAME
4,54.09,21.2,5,5,48.48,2,EASIER
4,81.58,27.72,1,1,83.54,2,SAME
5,89.39,37.47,1,1,94.22,3,HARDER
6,45.13,64.76,4,4,38.63,4,EASIER
6,88.04,101.61,2,1,87.4,4,HARDER
7,25.11,87.97,4,5,16.86,5,EASIER
7,42.63,159.83,2,3,40.54,5,EASIER
6,27.55,142.7,5,5,20.04,4,EASIER
6,55.87,145.42,2,2,51.86,4,SAME
4,99.62,22.47,1,0,100.0,2,HARDER
5,46.14,115.18,3,2,45.82,3,EASIER
3,78.22,48.0,1,0,74.3,1,SAME
4,73.75,78.83,1,1,70.96,2,EASIER
7,41.01,102.77,4,4,35.83,5,EASIER
5,78.78,39.98,1,1,78.34,3,SAME
3,85.71,16.13,1,1,79.17,1,HARDER
6,41.82,46.24,3,4,35.24,4,EASIER
7,54.87,112.72,2,2,56.66,5,EASIER
7,45.51,177.79,5,4,42.23,5,EASIER
4,77.49,70.22,3,1,78.43,2,SAME
5,50.97,45.61,4,3,40.22,3,EASIER
5,63.79,56.9,3,2,55.13,3,SAME
4,75.49,36.18,3,1,73.59,2,SAME
4,93.73,28.19,1,0,91.12,2,HARDER
4,92.62,53.7,2,1,89.7,2,SAME
7,36.0,136.49,5,5,26.79,5,EASIER
6,42.6,88.28,3,3,38.49,4,EASIER
7,16.23,136.15,5,4,8.79,5,EASIER
7,38.06,156.64,5,3,38.12,5,EASIER
7,43.58,155.78,1,2,33.2,5,EASIER
3,98.97,17.21,1,0,100.0,1,HARDER
7,43.8,182.55,2,3,38.63,5,EASIER
3,62.39,28.01,3,2,60.41,1,SAME
5,54.65,46.77,5,4,49.79,3,EASIER
5,58.18,65.13,2,1,54.31,3,SAME
4,88.66,44.68,1,1,86.8,2,HARDER
3,90.77,40.46,1,1,90.93,1,SAME
3,69.08,15.69,1,2,64.13,1,SAME
7,55.09,230.58,3,2,53.94,5,EASIER
4,70.2,38.42,5,3,68.5,2,EASIER
4,94.47,29.95,1,0,90.19,2,HARDER
7,52.7,83.59,4,3,45.38,5,EASIER
3,74.98,16.01,2,2,64.83,1,SAME
7,54.75,43.37,4,3,54.21,5,EASIER
7,67.34,162.01,1,1,63.61,5,HARDER
5,46.26,154.62,1,3,47.36,3,EASIER
3,79.38,12.17,1,0,78.42,1,SAME
3,81.66,16.38,1,1,86.31,1,SAME
4,98.97,54.1,1,0,98.47,2,SAME
5,59.38,56.7,2,2,52.74,3,SAME
3,75.65,36.24,2,0,75.75,1,SAME
5,62.88,55.15,1,2,58.42,3,SAME
3,77.75,19.31,2,1,75.36,1,SAME
5,81.38,51.87,2,1,83.05,3,SAME
3,74.34,8.66,1,0,76.59,1,SAME
6,75.19,45.25,1,1,74.47,4,SAME
3,79.3,38.12,1,1,76.81,1,SAME
3,100.0,42.49,1,0,99.01,1,SAME
3,82.52,46.74,2,1,82.85,1,SAME
7,52.64,142.42,2,3,53.31,5,EASIER
3,83.61,9.16,1,1,85.4,1,SAME
5,79.36,42.36,1,1,73.65,3,SAME
5,56.52,111.74,1,2,56.35,3,SAME
5,58.35,129.52,3,3,52.31,3,EASIER
6,42.78,166.55,3,4,36.39,4,EASIER
7,42.07,98.47,3,3,40.5,5,EASIER
4,99.66,20.56,2,0,99.95,2,HARDER
7,71.44,109.55,2,1,72.67,5,SAME
4,100.0,38.27,1,0,99.28,2,HARDER
7,46.28,262.89,3,3,36.83,5,EASIER
5,66.93,64.92,3,2,62.12,3,SAME
6,65.09,82.71,4,3,55.19,4,SAME
7,45.24,116.58,4,3,41.99,5,EASIER
6,61.29,100.95,3,2,56.96,4,SAME
7,53.61,157.58,4,4,46.63,5,EASIER
5,71.98,40.52,3,2,68.15,3,SAME
3,73.88,15.62,4,3,72.04,1,EASIER
5,81.25,114.3,1,1,81.17,3,SAME
3,91.22,12.04,1,1,80.22,1,HARDER
7,41.67,273.44,3,4,28.6,5,EASIER
4,90.65,15.48,1,0,93.75,2,HARDER
