current_difficulty,accuracy,response_time,total_attempts,mistakes,score,previous_score,difficulty_change
2,100.0,73.33,11,0,93.09,100.0,HARDER
3,100.0,15.99,15,0,96.91,78.03,HARDER
3,78.13,45.14,12,2,79.5,68.64,SAME
3,65.41,75.24,12,6,63.26,70.68,EASIER
2,86.53,20.79,13,2,82.01,91.59,HARDER
2,45.09,22.37,11,6,55.43,26.25,EASIER
1,64.51,33.74,16,7,68.37,57.52,EASIER
1,100.0,32.38,13,0,100.0,97.16,HARDER
1,85.43,37.52,14,1,83.26,89.18,HARDER
2,67.42,44.4,10,2,64.92,93.52,SAME
3,87.74,81.04,16,0,87.82,84.24,SAME
3,89.82,20.15,15,1,95.89,82.68,HARDER
1,74.77,48.22,15,4,76.01,69.12,SAME
2,59.7,30.98,11,3,67.91,67.33,SAME
2,60.97,11.16,13,6,58.75,52.34,SAME
2,65.05,55.97,13,5,68.64,92.16,SAME
3,53.8,22.09,16,8,53.52,57.72,SAME
2,54.74,31.51,13,6,60.77,70.85,SAME
1,69.07,24.28,11,6,71.69,62.87,SAME
3,72.6,44.02,12,0,72.27,84.38,HARDER
3,67.02,31.14,12,3,65.65,25.2,SAME
1,74.02,68.94,13,4,74.41,52.14,EASIER
2,94.93,32.47,16,0,95.72,85.56,HARDER
1,77.69,28.49,14,3,70.52,92.5,HARDER
2,93.72,19.12,11,0,99.18,100.0,HARDER
1,37.68,15.92,15,8,44.75,46.63,EASIER
3,70.38,47.57,10,2,66.74,68.22,SAME
2,72.65,25.62,17,4,72.72,73.64,SAME
3,44.52,20.0,11,6,38.27,52.13,SAME
1,71.67,21.85,16,2,77.6,67.55,SAME
3,68.61,33.69,15,5,68.45,63.42,SAME
2,99.23,20.98,10,2,100.0,97.24,HARDER
2,65.28,21.14,12,4,71.84,71.72,SAME
2,99.46,67.77,14,0,100.0,100.0,HARDER
1,72.15,43.13,13,3,79.43,85.0,SAME
1,72.87,27.11,13,4,67.99,83.79,SAME
2,83.88,32.6,14,0,83.26,64.78,HARDER
3,77.61,24.17,10,4,78.51,73.49,HARDER
2,46.96,25.05,12,5,43.66,53.62,SAME
1,93.18,53.48,14,1,97.35,100.0,HARDER
2,82.73,32.94,16,1,95.76,84.77,HARDER
1,68.49,27.47,14,3,74.14,72.93,SAME
1,49.71,37.59,13,7,49.46,11.52,EASIER
2,98.37,32.46,15,1,100.0,77.72,HARDER
2,76.48,48.46,17,7,73.23,63.06,SAME
1,47.62,65.57,10,5,46.12,34.04,EASIER
1,40.19,17.42,17,9,44.2,48.31,EASIER
2,75.91,28.72,17,4,76.74,84.12,SAME
2,63.52,23.62,11,4,66.06,47.32,SAME
2,85.29,13.97,12,1,89.27,100.0,HARDER
3,62.31,21.86,16,5,67.93,45.53,SAME
1,62.11,37.68,12,4,61.23,49.25,EASIER
1,74.4,67.27,15,4,74.58,100.0,SAME
3,89.77,32.2,17,3,94.43,100.0,HARDER
2,84.04,44.13,11,2,80.9,83.82,HARDER
2,72.14,23.51,16,5,73.99,68.09,SAME
2,78.44,30.63,10,1,74.03,68.17,EASIER
3,62.93,51.69,15,3,66.78,76.94,SAME
3,88.53,46.56,15,3,80.92,72.53,SAME
1,81.79,60.68,11,1,85.18,84.46,SAME
3,98.38,31.49,12,1,100.0,96.66,HARDER
2,54.35,17.27,10,6,45.12,36.62,SAME
2,60.95,40.02,10,2,68.17,66.94,SAME
1,95.11,35.0,16,1,100.0,62.78,EASIER
1,97.49,37.42,10,0,100.0,77.7,HARDER
2,80.7,44.79,17,1,78.46,50.12,SAME
2,80.91,29.04,15,4,75.44,81.03,SAME
2,83.62,25.94,15,2,91.14,100.0,HARDER
1,78.75,11.97,10,1,84.13,93.61,HARDER
1,57.38,35.15,14,6,66.44,71.81,EASIER
2,64.57,48.97,12,6,63.54,95.88,SAME
2,96.1,64.05,13,0,92.84,85.58,HARDER
1,84.41,23.17,16,3,74.42,61.77,SAME
1,74.76,16.38,16,3,80.21,78.55,HARDER
2,41.44,19.99,13,7,49.34,63.63,EASIER
1,100.0,60.77,16,0,99.14,100.0,HARDER
2,100.0,55.83,16,0,96.41,100.0,HARDER
1,47.27,9.27,15,8,39.02,38.26,EASIER
2,34.78,33.35,11,7,31.21,18.1,EASIER
1,45.73,64.96,13,8,45.49,52.65,EASIER
1,76.38,16.84,11,1,78.5,100.0,HARDER
1,52.32,16.74,12,3,56.56,74.89,SAME
3,81.53,53.82,16,4,93.07,88.24,SAME
2,66.88,22.66,12,3,67.28,37.3,SAME
1,91.49,35.06,16,1,83.12,89.54,HARDER
1,37.42,21.57,14,9,38.8,29.04,EASIER
3,84.85,19.86,16,2,85.83,88.59,HARDER
1,78.0,39.62,15,3,86.17,68.97,SAME
2,73.85,34.78,17,4,74.88,65.81,SAME
3,69.12,28.53,11,4,72.73,82.26,SAME
3,77.17,18.88,10,3,69.86,87.43,HARDER
2,100.0,48.41,12,2,100.0,100.0,HARDER
2,92.67,25.92,17,1,86.76,84.51,HARDER
2,45.58,44.08,12,7,44.32,50.2,EASIER
1,71.6,38.48,11,3,66.05,96.79,SAME
2,80.01,20.66,15,3,75.06,89.17,HARDER
1,84.9,19.4,11,1,87.47,100.0,HARDER
3,63.08,20.72,15,5,60.19,61.14,SAME
3,96.71,35.66,15,2,98.82,82.93,HARDER
3,83.6,34.6,12,3,80.0,93.43,HARDER
2,62.88,34.01,13,4,57.24,50.53,SAME
2,64.45,16.62,14,5,70.57,94.92,SAME
1,100.0,14.05,15,0,96.55,100.0,HARDER
2,91.61,47.96,13,0,94.46,100.0,HARDER
1,64.53,19.0,12,5,56.77,75.35,SAME
1,71.13,16.38,17,5,73.44,100.0,SAME
1,87.51,72.03,11,0,84.37,71.99,SAME
2,77.91,22.13,11,3,77.35,63.79,SAME
1,94.64,39.46,17,0,93.23,100.0,HARDER
2,88.75,26.97,17,1,86.12,91.54,HARDER
3,55.73,20.1,11,3,49.78,50.68,SAME
1,46.0,36.72,16,8,46.41,44.93,EASIER
3,79.81,34.67,17,4,77.2,70.69,SAME
2,65.21,31.71,14,5,77.54,73.03,SAME
1,29.54,30.88,10,6,31.29,45.56,EASIER
1,20.0,24.92,13,10,20.32,0.0,EASIER
1,53.23,39.3,15,5,59.51,76.67,SAME
1,38.72,62.74,16,9,35.9,29.74,EASIER
1,80.44,22.62,13,4,87.19,76.19,SAME
1,61.62,46.01,11,4,54.79,51.41,EASIER
2,84.75,42.22,15,2,79.51,85.32,HARDER
1,99.62,15.05,11,1,94.65,94.18,HARDER
2,53.52,29.46,13,6,47.33,53.98,EASIER
1,96.71,34.2,10,0,93.68,100.0,HARDER
3,100.0,22.84,11,0,89.19,94.69,HARDER
3,70.37,22.86,17,4,71.56,64.74,SAME
1,60.56,53.82,15,4,51.66,70.49,EASIER
2,78.39,30.4,10,1,83.37,72.02,HARDER
1,69.19,26.8,15,4,68.6,68.2,SAME
1,85.34,29.03,11,0,92.62,100.0,HARDER
3,59.63,35.26,16,6,55.09,51.51,SAME
1,60.98,23.83,13,4,59.87,55.72,SAME
2,90.49,23.08,16,1,93.24,100.0,HARDER
3,87.4,35.47,16,3,82.2,89.75,HARDER
3,73.3,28.86,16,2,73.1,58.5,HARDER
2,43.09,20.38,16,9,46.86,52.58,EASIER
3,72.51,17.29,17,5,76.36,71.03,SAME
3,85.98,16.76,14,3,89.58,100.0,HARDER
1,80.0,57.73,15,3,81.19,93.59,SAME
3,89.36,28.6,12,2,98.0,92.0,HARDER
2,49.47,13.58,17,8,47.41,25.74,EASIER
2,45.1,23.55,11,6,54.4,82.7,SAME
2,63.75,43.54,13,6,56.65,63.48,SAME
3,60.29,38.48,12,4,54.58,51.67,SAME
2,73.51,28.4,12,3,77.0,63.4,SAME
2,94.02,16.51,16,0,99.76,95.19,HARDER
2,52.44,35.1,14,7,60.82,86.01,SAME
3,88.23,23.07,17,0,90.8,82.81,HARDER
2,74.5,66.6,10,2,69.51,68.7,SAME
1,89.63,20.21,13,0,84.29,55.24,HARDER
1,78.13,27.8,12,2,72.48,46.03,SAME
1,56.52,33.53,16,7,55.23,69.13,EASIER
3,73.12,86.59,14,4,66.85,71.25,EASIER
3,50.58,14.5,10,6,46.47,44.0,SAME
2,93.22,10.73,16,1,100.0,98.76,HARDER
1,60.08,24.52,17,9,68.24,64.33,EASIER
3,69.56,20.79,12,2,65.56,58.32,HARDER
2,57.84,34.69,15,6,55.35,45.03,EASIER
2,81.61,61.3,11,1,77.93,79.18,SAME
1,90.86,47.87,11,1,90.23,77.07,SAME
1,70.36,21.61,10,5,75.76,69.05,SAME
2,98.06,37.31,13,0,99.96,83.18,HARDER
3,75.49,16.84,13,2,72.91,77.38,HARDER
2,88.7,21.54,17,2,90.4,82.26,HARDER
3,55.96,29.45,15,5,58.1,55.3,SAME
1,92.74,51.19,10,3,90.23,98.61,SAME
3,52.34,19.05,15,9,54.1,49.54,EASIER
2,39.81,28.79,12,4,40.15,55.78,SAME
1,79.39,24.4,12,2,74.77,99.0,HARDER
2,69.2,47.01,12,3,66.81,76.81,EASIER
2,96.5,18.11,13,0,99.02,100.0,HARDER
1,68.19,57.82,13,3,69.95,77.29,SAME
2,82.38,26.91,12,0,75.24,66.65,HARDER
2,51.22,28.71,10,6,50.11,56.44,EASIER
1,78.53,34.6,10,3,88.81,97.35,SAME
2,100.0,25.28,13,0,98.88,93.64,EASIER
3,86.8,59.66,12,2,95.35,93.79,HARDER
1,71.96,30.96,14,5,67.92,57.19,SAME
2,65.76,30.38,12,4,79.2,52.05,SAME
3,62.62,44.69,14,5,69.78,65.71,SAME
2,68.47,23.93,13,6,67.59,69.44,SAME
2,84.93,22.67,10,1,88.96,92.05,HARDER
2,49.53,9.34,12,6,43.33,29.92,EASIER
1,62.95,48.87,10,3,60.49,40.35,EASIER
1,64.55,44.05,10,3,60.57,76.71,SAME
2,75.38,21.81,13,1,78.28,83.5,HARDER
1,53.43,47.67,11,5,50.36,39.73,EASIER
2,81.17,20.12,13,2,85.77,87.48,HARDER
1,65.53,59.08,14,3,72.58,71.1,SAME
3,75.34,46.07,13,3,82.0,93.42,HARDER
3,80.7,70.57,12,5,78.28,48.89,EASIER
2,88.19,37.08,11,2,84.49,81.97,HARDER
3,49.63,36.98,17,8,50.93,48.91,EASIER
2,89.59,53.96,13,0,92.48,56.6,SAME
1,67.72,31.8,10,2,65.57,66.32,SAME
1,72.1,28.03,10,1,78.21,79.87,HARDER
2,75.5,36.21,14,2,74.96,73.63,SAME
1,68.34,26.7,15,6,68.57,67.81,SAME
1,27.77,17.32,11,6,20.34,28.27,EASIER
2,38.3,60.88,12,7,36.13,51.43,EASIER
2,75.55,16.55,16,1,79.29,63.2,HARDER
2,79.31,9.61,10,1,74.8,90.71,HARDER
3,100.0,26.36,17,0,97.16,74.29,HARDER
3,79.34,33.81,13,4,75.94,77.08,SAME
2,75.34,40.26,13,4,75.08,48.49,SAME
1,97.71,22.95,12,1,96.61,100.0,HARDER
3,35.41,13.88,16,10,42.87,60.35,EASIER
1,71.32,28.23,14,5,75.75,87.58,SAME
1,76.42,48.76,17,2,69.52,60.12,SAME
3,90.52,46.07,16,2,96.57,74.98,HARDER
1,78.25,32.03,12,1,79.31,67.01,SAME
2,74.57,27.53,12,2,80.05,100.0,HARDER
1,62.11,34.9,11,4,66.8,42.69,EASIER
1,61.27,43.57,14,5,67.02,71.22,SAME
1,100.0,24.19,16,0,100.0,100.0,HARDER
1,51.77,18.24,13,7,47.94,32.43,EASIER
2,62.48,60.45,16,5,60.44,52.57,EASIER
1,77.74,30.0,11,2,81.21,100.0,HARDER
2,37.68,24.73,13,7,43.31,39.21,EASIER
3,61.0,47.63,16,5,60.44,70.06,SAME
3,61.51,34.99,16,3,60.84,82.18,HARDER
1,91.67,27.81,17,1,86.39,100.0,HARDER
3,67.11,31.95,14,1,66.96,65.87,HARDER
2,95.01,26.37,14,1,96.64,100.0,HARDER
2,93.7,28.99,10,1,97.48,96.01,HARDER
1,67.19,31.93,15,4,68.15,65.93,SAME
1,43.61,31.65,14,6,47.55,50.2,HARDER
2,76.48,88.84,17,4,79.57,85.08,EASIER
1,70.16,60.67,17,5,77.9,74.33,EASIER
1,78.46,46.65,11,1,81.6,63.21,SAME
2,85.64,73.5,13,2,86.86,83.51,SAME
1,100.0,28.64,16,0,100.0,93.36,HARDER
3,78.38,14.64,13,3,78.64,75.55,HARDER
1,63.3,34.94,11,2,57.61,43.52,SAME
2,95.21,37.87,16,0,97.54,100.0,HARDER
1,73.63,20.6,15,6,65.19,54.4,SAME
1,86.78,32.6,15,4,77.31,68.86,SAME
2,73.51,36.7,13,3,69.7,74.35,SAME
2,84.84,28.52,15,0,87.15,100.0,HARDER
2,50.46,36.34,16,7,55.71,50.95,EASIER
1,70.66,14.96,10,3,64.65,64.55,SAME
3,100.0,44.87,16,0,93.75,100.0,HARDER
3,66.54,33.81,14,4,59.26,100.0,HARDER
2,48.66,28.88,11,4,54.62,45.73,SAME
2,99.82,17.13,11,0,100.0,100.0,HARDER
2,59.43,37.43,14,7,67.52,69.08,EASIER
1,71.6,45.42,13,1,72.66,59.76,SAME
1,56.46,16.11,11,6,56.52,67.16,SAME
3,66.39,46.16,11,2,72.45,73.4,SAME
1,98.59,35.41,16,0,100.0,92.69,EASIER
1,99.6,20.52,17,0,94.49,79.04,HARDER
1,61.52,49.37,13,3,64.85,71.79,SAME
1,96.49,19.29,12,0,94.61,73.96,HARDER
2,66.64,25.59,16,4,75.65,81.4,SAME
3,85.23,31.46,11,0,83.76,85.93,HARDER
2,83.85,41.35,12,3,86.88,84.13,SAME
2,69.23,67.29,10,2,73.94,68.42,SAME
1,66.72,34.52,17,5,69.89,71.21,SAME
1,83.18,23.58,17,2,84.67,91.97,HARDER
1,97.46,30.74,15,3,99.97,100.0,HARDER
2,87.58,36.26,14,1,88.73,100.0,HARDER
3,100.0,21.1,15,0,100.0,100.0,HARDER
3,76.26,22.5,15,2,74.08,84.23,HARDER
3,72.53,15.75,10,3,69.85,44.24,SAME
1,72.19,23.44,13,2,73.89,83.97,HARDER
3,86.91,36.31,10,1,80.26,81.43,HARDER
1,100.0,22.76,11,0,100.0,88.04,HARDER
2,75.66,41.91,17,5,76.7,77.74,SAME
1,65.16,26.55,13,3,64.7,95.39,SAME
1,88.88,14.25,17,4,81.0,94.89,HARDER
2,71.13,33.98,15,2,78.28,80.41,SAME
3,65.98,41.13,11,3,71.61,66.59,SAME
2,74.58,27.74,12,3,76.07,76.88,SAME
3,99.24,33.78,10,0,100.0,85.4,HARDER
1,81.47,38.74,16,2,80.25,76.56,SAME
1,87.56,61.51,15,3,90.06,97.14,SAME
2,83.68,17.19,10,2,79.92,59.28,HARDER
1,68.89,24.83,11,5,73.04,57.78,SAME
2,84.69,32.59,13,1,71.18,78.16,HARDER
2,99.17,20.91,17,0,96.71,100.0,HARDER
1,69.98,26.45,14,5,74.77,71.63,SAME
1,97.82,28.63,11,1,87.1,95.09,HARDER
3,62.97,47.17,17,6,66.01,45.21,EASIER
1,100.0,39.97,15,0,100.0,100.0,HARDER
3,91.59,37.28,16,0,86.32,51.49,HARDER
1,55.82,8.66,16,6,56.38,82.55,SAME
1,69.94,36.32,11,4,79.11,75.29,SAME
1,68.92,20.79,15,3,74.03,100.0,HARDER
2,100.0,35.75,16,0,100.0,100.0,HARDER
1,39.75,31.85,14,8,38.07,26.23,EASIER
2,66.49,16.83,10,4,70.07,85.48,SAME
2,80.76,26.66,11,2,82.17,100.0,HARDER
3,74.04,52.03,12,3,65.0,84.98,SAME
2,75.79,29.51,10,2,74.41,88.52,HARDER
3,78.45,23.32,14,3,63.88,52.62,SAME
2,73.31,20.14,13,5,77.8,96.92,HARDER
1,86.73,17.98,10,3,79.78,81.34,HARDER
2,64.58,11.32,17,6,58.86,59.72,SAME
2,62.03,38.06,10,2,53.98,46.65,SAME
2,62.59,38.08,14,5,57.43,63.4,SAME
2,59.74,22.37,12,5,53.6,67.74,SAME
2,90.49,27.84,16,0,96.03,100.0,HARDER
2,76.77,29.3,15,3,69.11,66.92,SAME
2,98.23,39.55,17,0,94.74,100.0,HARDER
2,56.85,12.4,10,2,55.55,69.58,SAME
2,71.33,35.48,10,3,74.68,70.3,SAME
3,66.56,40.1,15,7,60.67,44.53,EASIER
3,54.12,26.26,15,8,59.53,39.85,EASIER
1,86.2,54.56,17,1,84.19,81.12,SAME
2,75.09,14.26,13,1,83.93,76.55,HARDER
1,87.67,32.23,15,3,80.13,72.44,SAME
2,100.0,28.41,15,1,97.04,98.89,HARDER
2,55.94,58.44,16,7,59.2,61.56,EASIER
1,66.25,61.87,16,5,60.22,65.82,EASIER
2,92.15,37.13,15,1,90.14,60.24,HARDER
3,38.09,36.55,14,8,39.3,22.04,EASIER
3,100.0,60.89,17,1,100.0,100.0,HARDER
2,88.29,30.57,12,4,87.46,90.64,HARDER
1,80.2,31.03,17,2,75.88,45.65,SAME
3,52.47,37.46,11,3,51.59,28.36,SAME
1,70.39,26.91,12,3,67.97,49.12,SAME
1,85.54,55.55,17,1,86.54,90.84,SAME
3,66.2,26.47,16,6,57.27,51.88,SAME
2,80.42,35.11,17,2,81.0,79.49,HARDER
3,100.0,21.41,14,0,88.39,96.52,HARDER
3,100.0,24.9,16,0,100.0,84.41,HARDER
3,75.3,25.6,14,3,83.82,100.0,HARDER
3,73.88,13.94,13,2,76.05,36.65,HARDER
3,75.77,54.94,14,2,89.2,70.7,SAME
1,86.89,20.08,15,2,85.81,89.25,HARDER
2,90.25,27.46,17,0,91.35,100.0,HARDER
1,65.76,51.01,16,5,78.16,100.0,SAME
3,99.29,63.36,10,1,100.0,97.87,HARDER
1,53.69,43.57,14,6,54.4,63.02,EASIER
3,88.36,47.02,16,0,85.86,77.97,HARDER
1,99.99,31.97,13,0,98.1,100.0,HARDER
1,49.34,43.25,10,6,48.25,24.95,EASIER
2,69.57,33.56,17,4,70.7,77.98,SAME
1,76.78,22.46,16,2,80.57,90.86,HARDER
1,100.0,31.35,10,1,96.92,72.31,HARDER
1,96.75,64.55,15,0,100.0,100.0,HARDER
1,84.6,46.86,16,3,91.55,86.99,SAME
1,90.3,24.45,11,2,87.97,97.58,HARDER
1,71.57,34.71,17,3,68.35,38.42,SAME
1,79.76,41.58,17,4,80.59,89.08,SAME
1,87.58,39.93,11,0,91.22,97.87,HARDER
3,56.22,18.59,17,6,53.18,45.24,SAME
3,55.98,35.16,10,3,57.72,46.74,SAME
1,88.96,55.62,17,2,83.92,79.76,SAME
2,87.87,70.84,12,2,94.84,64.1,SAME
1,89.66,21.74,11,0,100.0,100.0,SAME
3,85.84,36.48,14,1,77.12,85.85,HARDER
3,73.81,36.74,16,4,71.47,55.33,SAME
3,78.98,26.77,12,2,72.55,51.59,HARDER
1,47.65,8.39,15,6,48.99,52.43,SAME
3,55.54,20.28,13,4,57.22,86.58,EASIER
1,88.76,17.16,11,1,91.0,85.86,HARDER
1,78.07,39.48,13,3,83.23,100.0,SAME
2,63.54,13.0,16,5,62.09,46.05,SAME
2,42.83,27.85,13,6,40.55,41.37,EASIER
1,76.78,15.16,11,0,78.39,100.0,HARDER
1,75.33,33.2,10,3,72.82,68.87,SAME
1,66.2,55.05,11,3,67.57,69.85,SAME
2,97.59,41.71,17,0,89.75,83.53,HARDER
1,72.41,32.87,17,4,74.51,61.55,SAME
3,98.03,28.3,17,1,93.86,100.0,HARDER
3,71.79,16.24,11,3,66.03,55.31,HARDER
2,56.49,25.89,17,6,63.44,59.39,SAME
2,94.5,23.25,10,1,100.0,92.75,EASIER
3,63.98,18.46,15,4,61.01,59.42,EASIER
1,82.81,40.59,17,2,82.62,56.65,SAME
2,100.0,46.03,16,0,97.2,100.0,HARDER
1,71.69,20.61,12,2,74.97,84.5,HARDER
1,65.12,12.28,13,3,60.08,45.49,SAME
2,81.54,37.9,14,1,73.38,54.82,SAME
3,76.97,22.83,13,3,72.79,91.91,HARDER
1,81.95,25.19,15,4,77.66,85.53,SAME
3,54.52,26.06,16,8,56.04,44.03,EASIER
3,77.58,18.05,11,1,75.93,64.22,HARDER
1,98.95,44.84,14,2,97.12,100.0,HARDER
2,75.16,77.31,17,5,77.88,99.92,SAME
1,80.32,20.32,17,0,75.56,65.4,HARDER
1,91.21,36.75,13,0,89.49,89.07,HARDER
1,68.31,52.38,16,6,73.68,78.56,EASIER
2,69.85,11.58,11,2,68.66,69.85,HARDER
3,69.53,59.7,12,3,63.13,65.97,SAME
2,78.32,45.75,14,2,77.34,95.58,HARDER
3,78.01,44.6,14,3,78.56,80.85,SAME
2,72.92,33.61,17,4,73.64,70.29,SAME
2,84.78,31.19,10,1,88.11,100.0,HARDER
1,79.17,40.13,14,3,83.08,67.93,SAME
1,55.87,39.02,15,4,55.99,51.49,EASIER
3,85.95,104.16,15,1,91.93,83.82,SAME
1,50.78,29.13,15,7,57.16,62.23,EASIER
1,100.0,19.6,15,1,100.0,100.0,HARDER
1,61.23,14.75,16,6,61.23,77.48,SAME
2,66.73,13.72,14,3,70.25,74.45,HARDER
1,47.94,18.64,10,4,48.92,35.36,EASIER
1,94.87,37.15,15,0,95.76,100.0,HARDER
1,46.04,30.53,13,7,42.03,62.52,EASIER
2,85.78,19.83,15,2,84.93,100.0,HARDER
3,78.98,23.79,13,3,74.15,98.58,HARDER
2,87.22,28.21,16,1,92.43,65.03,HARDER
2,91.98,29.98,12,0,81.66,71.37,HARDER
1,71.16,46.21,11,4,78.57,44.6,EASIER
2,58.17,22.4,10,4,57.78,39.85,SAME
2,44.71,18.92,10,6,40.07,41.7,EASIER
1,67.48,28.41,14,4,58.25,72.04,SAME
2,77.23,21.01,15,3,75.78,78.14,HARDER
1,93.35,37.38,15,3,95.88,100.0,HARDER
1,100.0,25.01,15,0,94.94,100.0,HARDER
3,56.69,19.27,13,3,56.18,48.79,SAME
2,78.36,37.11,10,2,75.92,52.72,SAME
1,95.75,35.28,14,0,100.0,87.52,HARDER
1,90.13,32.94,13,1,91.27,84.88,HARDER
1,83.48,30.35,17,0,89.83,93.02,HARDER
3,47.61,65.84,17,8,48.22,44.72,EASIER
1,74.27,36.47,14,4,74.97,98.8,SAME
2,72.99,20.88,16,4,69.82,78.14,SAME
3,48.93,20.66,16,7,45.29,45.43,SAME
2,93.24,32.49,13,0,91.63,51.89,HARDER
2,99.33,11.85,11,0,98.87,97.66,HARDER
2,62.09,16.83,12,5,66.7,62.76,SAME
1,65.98,27.93,17,5,52.77,47.92,EASIER
1,75.94,37.41,17,2,67.95,63.05,SAME
3,71.16,37.76,11,5,76.74,66.75,SAME
2,92.82,36.32,16,1,91.08,83.64,HARDER
2,85.72,22.93,16,3,90.41,76.59,HARDER
2,65.09,76.41,15,5,52.62,38.14,EASIER
1,100.0,23.09,17,0,100.0,100.0,HARDER
3,52.58,21.6,14,9,45.79,24.84,EASIER
1,81.1,51.59,13,1,75.88,94.28,SAME
2,76.1,15.93,14,2,75.92,67.95,HARDER
2,46.78,13.11,15,7,45.42,36.25,EASIER
1,62.91,31.56,12,5,73.51,82.21,SAME
1,29.8,45.72,11,7,35.69,42.96,EASIER
1,60.11,17.71,10,2,56.92,44.69,SAME
2,55.81,71.19,17,6,58.61,46.45,EASIER
2,70.42,30.56,14,5,76.34,74.73,SAME
2,92.99,37.23,11,1,88.82,98.94,HARDER
2,67.95,27.92,15,3,64.36,95.1,HARDER
3,75.01,21.12,17,5,75.9,85.46,HARDER
1,47.27,16.02,14,8,52.55,51.12,EASIER
2,82.5,38.1,11,3,78.43,99.2,HARDER
1,93.63,15.83,15,0,90.46,99.41,HARDER
1,63.58,36.27,16,6,65.6,51.93,EASIER
1,77.78,31.53,15,2,75.51,90.36,HARDER
1,64.43,23.27,17,6,62.46,60.19,SAME
1,60.57,18.62,13,5,62.13,80.02,SAME
3,52.36,28.14,12,6,48.56,51.23,SAME
2,49.75,47.18,16,7,58.78,53.52,EASIER
