puzzle_pieces,accuracy,response_time,attempts,mistakes,previous_score,current_level,difficulty_change
6,100.0,13.84,6,0,100.0,2,HARDER
12,91.28,15.89,14,1,76.33,4,HARDER
9,73.91,25.64,14,3,75.16,3,HARDER
4,100.0,17.14,5,0,100.0,1,HARDER
6,99.63,19.59,6,0,94.05,2,HARDER
16,76.53,24.57,26,5,66.85,5,EASIER
6,88.15,16.5,10,1,96.84,2,HARDER
6,74.84,32.82,10,2,69.65,2,EASIER
9,69.27,31.02,18,4,59.75,3,EASIER
9,80.97,20.86,11,2,75.27,3,HARDER
9,100.0,12.34,9,0,97.71,3,HARDER
4,56.74,26.16,11,3,53.91,1,EASIER
4,100.0,5.23,5,0,98.5,1,HARDER
6,74.13,14.07,9,2,81.31,2,HARDER
4,100.0,17.17,4,0,100.0,1,HARDER
12,74.0,23.9,17,4,63.63,4,SAME
16,77.28,37.25,21,4,64.73,5,SAME
9,89.22,21.91,12,1,86.29,3,HARDER
16,76.03,35.42,22,5,58.83,5,EASIER
12,78.62,34.71,16,3,64.5,4,SAME
12,84.98,22.84,19,2,79.6,4,HARDER
4,100.0,11.07,4,0,100.0,1,HARDER
12,86.85,36.56,15,2,92.96,4,HARDER
4,66.33,19.66,6,2,76.9,1,SAME
6,86.36,11.82,10,1,100.0,2,HARDER
4,78.26,11.88,6,1,91.65,1,HARDER
9,99.99,13.83,9,0,93.21,3,HARDER
4,100.0,17.54,4,0,100.0,1,HARDER
12,72.76,35.71,16,4,74.89,4,EASIER
4,99.17,8.98,4,0,95.22,1,HARDER
6,87.28,18.19,7,1,91.85,2,EASIER
6,85.18,26.12,7,1,86.63,2,HARDER
12,100.0,13.26,12,0,100.0,4,HARDER
6,74.56,16.63,10,2,85.44,2,SAME
16,83.36,41.36,23,3,74.51,5,HARDER
6,100.0,14.22,6,0,87.57,2,HARDER
12,71.39,27.36,21,5,57.42,4,EASIER
9,80.41,17.03,14,2,84.24,3,HARDER
12,67.69,34.82,20,6,40.73,4,EASIER
9,88.96,17.78,11,1,85.86,3,HARDER
6,75.13,13.66,8,2,89.35,2,HARDER
4,81.57,15.58,5,1,89.07,1,HARDER
12,79.37,33.2,17,3,81.24,4,SAME
16,71.47,20.51,27,6,47.87,5,EASIER
12,78.98,19.54,17,3,84.42,4,HARDER
4,80.27,11.65,5,1,95.23,1,HARDER
12,77.08,25.92,20,4,58.57,4,EASIER
16,80.55,28.28,23,4,67.12,5,SAME
4,99.45,9.73,4,0,99.75,1,HARDER
4,99.48,13.67,4,0,89.33,1,HARDER
9,89.56,12.33,10,1,91.33,3,HARDER
16,60.2,50.22,29,10,14.52,5,SAME
9,80.94,24.68,12,2,98.48,3,HARDER
16,72.69,29.79,29,6,44.17,5,EASIER
6,85.47,31.1,10,1,97.45,2,HARDER
9,81.6,29.4,12,2,85.99,3,SAME
16,94.96,22.08,19,1,100.0,5,HARDER
12,78.7,25.83,18,3,73.79,4,HARDER
12,74.57,20.86,18,4,70.94,4,SAME
4,99.18,12.58,4,0,95.98,1,HARDER
16,65.91,67.27,34,8,20.51,5,EASIER
6,75.95,23.74,10,2,77.98,2,SAME
9,100.0,12.33,9,0,98.22,3,HARDER
9,80.65,22.09,13,2,83.43,3,HARDER
4,66.96,22.79,8,2,64.48,1,EASIER
4,99.56,10.13,4,0,85.9,1,HARDER
16,80.7,27.53,26,4,64.53,5,SAME
16,70.0,46.86,31,7,40.42,5,EASIER
6,100.0,10.63,6,0,92.83,2,HARDER
4,77.62,14.37,5,1,100.0,1,HARDER
16,74.92,32.98,22,5,68.24,5,EASIER
6,85.91,15.49,8,1,83.46,2,HARDER
4,100.0,8.82,4,0,94.45,1,HARDER
6,66.06,16.13,11,3,70.57,2,SAME
12,72.09,26.39,21,4,55.12,4,EASIER
4,96.95,14.26,4,0,96.05,1,HARDER
16,76.94,29.26,23,5,57.47,5,EASIER
6,85.33,16.79,7,1,97.92,2,HARDER
12,70.54,35.4,18,5,44.91,4,EASIER
9,99.83,18.39,9,0,100.0,3,HARDER
4,99.3,13.66,4,0,100.0,1,HARDER
12,79.04,29.25,17,3,77.98,4,HARDER
4,100.0,15.01,4,0,97.0,1,HARDER
6,85.77,20.41,8,1,78.79,2,HARDER
12,74.0,28.81,19,4,63.82,4,EASIER
4,98.25,13.58,4,0,100.0,1,HARDER
16,62.58,58.4,35,10,21.38,5,EASIER
12,92.56,32.53,15,1,85.51,4,HARDER
4,98.54,15.85,4,0,100.0,1,HARDER
9,75.85,21.27,13,3,81.76,3,SAME
9,89.79,27.59,11,1,94.15,3,HARDER
9,82.45,28.34,13,2,89.75,3,SAME
9,100.0,15.97,11,0,95.16,3,HARDER
12,70.9,44.89,21,5,59.11,4,EASIER
12,73.67,24.1,18,4,84.69,4,SAME
16,99.14,16.64,16,0,100.0,5,HARDER
16,84.22,31.0,20,3,77.53,5,SAME
4,79.5,11.79,7,1,83.7,1,HARDER
12,83.7,29.37,15,2,91.73,4,HARDER
16,78.87,26.24,23,4,62.18,5,SAME
4,99.99,13.4,4,0,92.84,1,HARDER
4,99.05,11.85,4,0,100.0,1,HARDER
16,73.05,32.13,23,6,56.27,5,EASIER
9,70.14,22.47,16,4,61.29,3,SAME
9,81.97,20.62,11,2,85.76,3,HARDER
12,93.71,19.84,16,1,80.1,4,HARDER
12,83.12,36.05,16,2,66.23,4,EASIER
4,80.33,17.64,5,1,86.76,1,HARDER
9,63.25,41.73,19,5,49.11,3,EASIER
4,100.0,8.65,4,0,91.74,1,HARDER
4,100.0,11.36,4,0,100.0,1,HARDER
4,77.24,10.54,6,1,95.48,1,HARDER
12,91.83,20.45,15,1,89.22,4,HARDER
9,74.66,18.54,15,3,74.34,3,EASIER
9,81.6,28.92,13,2,80.02,3,HARDER
9,88.5,24.1,11,1,90.34,3,HARDER
6,73.17,21.38,8,2,86.95,2,SAME
16,60.91,44.0,33,10,15.44,5,EASIER
16,94.89,18.24,20,1,74.66,5,HARDER
9,81.42,21.0,11,2,94.38,3,HARDER
4,67.57,13.24,8,2,65.95,1,HARDER
9,90.59,10.96,12,1,96.52,3,HARDER
6,67.59,23.58,10,3,87.44,2,HARDER
6,86.02,14.38,9,1,80.75,2,SAME
16,75.47,23.11,23,5,66.99,5,EASIER
9,90.43,16.34,11,1,84.79,3,HARDER
12,75.89,19.57,18,4,67.42,4,HARDER
9,73.8,17.92,13,3,77.97,3,HARDER
16,75.88,33.83,25,5,50.93,5,EASIER
12,85.73,31.06,17,2,71.8,4,SAME
16,64.15,56.54,37,9,5.86,5,EASIER
12,85.53,20.18,15,2,100.0,4,HARDER
12,79.61,26.28,16,3,88.42,4,SAME
4,99.68,11.97,4,0,100.0,1,HARDER
4,79.69,12.41,6,1,88.86,1,HARDER
16,82.87,27.16,20,3,73.18,5,HARDER
6,100.0,10.67,7,0,100.0,2,HARDER
16,73.9,38.59,27,6,48.53,5,EASIER
16,71.49,24.95,26,6,39.03,5,EASIER
9,81.68,17.53,12,2,90.23,3,HARDER
12,100.0,23.97,13,0,96.67,4,HARDER
12,85.64,18.5,14,2,91.66,4,HARDER
9,64.53,45.59,18,5,49.0,3,EASIER
4,65.76,17.36,6,2,83.02,1,SAME
6,100.0,12.9,6,0,100.0,2,HARDER
6,74.36,16.9,10,2,86.82,2,HARDER
4,99.7,12.65,4,0,100.0,1,EASIER
16,84.51,43.87,23,3,76.6,5,HARDER
6,100.0,13.67,6,0,100.0,2,HARDER
6,73.89,16.18,12,2,78.92,2,SAME
6,99.97,8.4,6,0,98.17,2,HARDER
9,71.62,31.76,16,4,71.84,3,SAME
9,100.0,27.38,9,0,100.0,3,HARDER
16,81.45,31.33,24,3,64.08,5,HARDER
9,69.57,26.89,17,4,66.73,3,SAME
6,75.66,18.09,9,2,88.93,2,SAME
6,73.31,17.82,9,2,66.99,2,EASIER
16,72.34,44.16,28,6,36.79,5,EASIER
12,92.04,26.39,14,1,93.18,4,SAME
4,99.72,9.79,4,0,100.0,1,HARDER
6,85.1,14.11,8,1,89.19,2,HARDER
12,69.57,41.44,19,5,52.47,4,EASIER
16,73.8,41.2,24,6,57.97,5,EASIER
4,79.45,25.23,5,1,85.16,1,SAME
12,92.79,22.84,14,1,96.18,4,HARDER
6,99.75,18.48,6,0,92.59,2,HARDER
4,79.82,20.75,5,1,85.7,1,HARDER
4,81.23,19.82,5,1,82.41,1,HARDER
4,65.96,20.59,9,2,90.67,1,EASIER
6,76.01,12.9,10,2,85.47,2,HARDER
12,85.23,25.22,14,2,86.83,4,HARDER
6,84.96,27.39,7,1,84.73,2,HARDER
9,83.06,23.59,13,2,80.73,3,EASIER
6,100.0,11.28,6,0,100.0,2,HARDER
16,83.82,29.33,23,3,80.42,5,HARDER
9,69.05,27.01,13,4,75.01,3,SAME
4,98.37,14.24,4,0,88.89,1,HARDER
6,99.85,18.6,6,0,91.83,2,HARDER
6,87.27,19.4,8,1,98.39,2,HARDER
6,76.63,26.58,9,2,67.75,2,EASIER
12,85.61,31.05,15,2,78.95,4,HARDER
4,100.0,11.84,4,0,88.7,1,HARDER
12,83.74,38.02,16,2,75.33,4,HARDER
4,81.23,12.48,5,1,100.0,1,HARDER
9,75.28,25.98,13,3,66.68,3,SAME
12,83.81,23.27,16,2,81.63,4,HARDER
12,92.38,33.6,14,1,96.09,4,HARDER
6,87.41,19.95,8,1,86.65,2,HARDER
9,69.43,28.77,17,4,66.05,3,EASIER
6,72.83,13.66,9,2,92.41,2,HARDER
16,76.32,57.18,27,5,52.94,5,EASIER
4,98.02,23.34,4,0,96.84,1,HARDER
9,68.84,43.41,17,4,54.33,3,EASIER
12,93.5,21.58,16,1,80.2,4,SAME
6,50.56,30.35,16,6,39.68,2,EASIER
4,66.04,16.58,9,2,63.18,1,EASIER
9,100.0,16.12,9,0,100.0,3,HARDER
16,74.53,58.53,25,6,58.77,5,EASIER
12,58.42,34.16,26,8,25.65,4,EASIER
9,99.41,22.6,9,0,95.27,3,HARDER
16,88.96,31.51,18,2,84.59,5,HARDER
6,86.32,16.86,8,1,87.56,2,HARDER
6,85.43,39.86,9,1,86.78,2,HARDER
9,90.43,18.34,11,1,85.28,3,HARDER
9,76.42,22.01,12,3,83.66,3,HARDER
4,66.3,21.54,8,2,73.45,1,SAME
9,68.95,48.67,17,4,64.45,3,EASIER
16,80.31,33.56,25,4,54.07,5,SAME
6,100.0,14.75,6,0,100.0,2,HARDER
4,99.55,14.69,4,0,100.0,1,HARDER
6,74.67,10.15,9,2,100.0,2,HARDER
12,85.16,24.5,15,2,77.21,4,HARDER
6,99.4,12.05,6,0,100.0,2,HARDER
4,100.0,10.38,4,0,100.0,1,HARDER
16,69.09,32.93,25,7,57.16,5,EASIER
6,84.65,15.79,7,1,96.69,2,HARDER
6,100.0,10.46,7,0,97.43,2,HARDER
9,88.02,15.53,13,1,95.76,3,HARDER
9,75.42,33.27,13,3,65.6,3,SAME
9,57.81,27.11,18,6,58.63,3,EASIER
4,81.34,10.3,6,1,88.49,1,HARDER
16,68.46,54.34,31,7,24.71,5,EASIER
12,91.3,23.39,14,1,94.39,4,HARDER
4,81.23,11.0,6,1,96.88,1,HARDER
16,80.03,29.27,21,4,68.77,5,SAME
12,92.55,26.62,14,1,84.85,4,HARDER
12,76.11,37.47,20,4,69.93,4,SAME
16,67.96,37.38,23,7,56.12,5,EASIER
12,84.85,19.97,17,2,75.47,4,HARDER
4,100.0,17.87,4,0,90.62,1,HARDER
12,86.12,26.05,14,2,78.66,4,HARDER
4,100.0,11.29,4,0,95.87,1,HARDER
9,73.71,19.67,13,3,80.71,3,SAME
12,74.43,29.52,20,4,72.91,4,EASIER
9,89.22,16.38,13,1,78.82,3,HARDER
12,71.71,38.32,19,5,74.21,4,EASIER
12,86.27,14.2,18,2,69.73,4,HARDER
16,68.25,36.89,26,7,47.6,5,EASIER
16,89.08,33.69,20,2,78.25,5,HARDER
12,86.11,22.78,14,2,96.39,4,HARDER
4,98.72,15.4,4,0,100.0,1,HARDER
4,100.0,12.56,4,0,100.0,1,HARDER
9,79.82,17.2,12,2,79.4,3,HARDER
6,87.24,11.52,7,1,98.0,2,HARDER
6,99.7,11.39,6,0,100.0,2,HARDER
12,85.38,37.42,18,2,67.53,4,HARDER
6,67.04,13.08,12,3,68.68,2,SAME
6,68.49,21.83,13,3,62.46,2,SAME
9,64.9,39.8,16,5,48.87,3,EASIER
4,81.49,14.56,5,1,100.0,1,HARDER
9,100.0,12.61,9,0,99.08,3,HARDER
6,84.63,16.33,7,1,88.77,2,HARDER
12,70.22,28.9,19,5,65.52,4,SAME
9,100.0,17.01,9,0,90.92,3,HARDER
9,69.77,24.71,16,4,59.75,3,EASIER
4,79.43,17.06,6,1,84.95,1,SAME
6,85.6,14.43,8,1,92.66,2,HARDER
12,75.11,25.76,21,4,46.73,4,EASIER
6,98.97,12.15,6,0,100.0,2,HARDER
6,86.98,18.09,7,1,100.0,2,HARDER
6,85.32,23.33,7,1,100.0,2,HARDER
4,80.26,12.29,6,1,91.72,1,HARDER
6,75.88,18.41,10,2,76.24,2,SAME
12,66.59,22.81,25,6,49.01,4,EASIER
6,86.48,11.55,8,1,89.97,2,HARDER
16,56.86,74.27,37,12,3.81,5,EASIER
16,89.51,35.52,19,2,100.0,5,HARDER
4,79.23,19.47,6,1,98.55,1,HARDER
4,100.0,16.21,4,0,100.0,1,HARDER
9,67.27,21.57,18,4,62.36,3,EASIER
9,69.54,18.63,16,4,71.87,3,EASIER
12,70.32,39.37,19,5,52.5,4,EASIER
16,77.19,47.64,27,5,52.75,5,EASIER
6,85.38,17.73,7,1,79.06,2,SAME
4,81.98,24.92,8,1,86.15,1,HARDER
4,78.88,25.48,5,1,100.0,1,HARDER
6,85.97,10.17,7,1,96.25,2,HARDER
16,80.26,29.06,25,4,59.64,5,SAME
12,81.96,26.65,17,3,76.21,4,EASIER
12,85.46,31.2,17,2,87.86,4,HARDER
6,100.0,16.2,6,0,99.04,2,HARDER
6,100.0,13.87,6,0,87.92,2,HARDER
12,85.6,19.74,19,2,76.67,4,HARDER
9,68.54,23.19,16,4,65.19,3,EASIER
6,98.16,6.97,7,0,99.84,2,HARDER
12,71.94,35.74,19,5,56.06,4,EASIER
6,100.0,12.37,6,0,100.0,2,HARDER
6,99.78,14.29,6,0,100.0,2,HARDER
12,99.27,15.57,13,0,100.0,4,HARDER
9,66.94,17.7,13,4,70.82,3,SAME
16,84.43,30.4,22,3,80.56,5,HARDER
9,81.82,19.77,11,2,100.0,3,HARDER
4,99.76,8.5,4,0,99.92,1,HARDER
9,82.45,29.09,11,2,100.0,3,HARDER
12,74.11,26.36,16,4,80.14,4,SAME
12,92.24,18.42,14,1,89.68,4,HARDER
6,75.21,17.71,10,2,85.71,2,SAME
4,100.0,14.68,6,0,88.47,1,HARDER
16,69.35,53.8,34,8,10.18,5,EASIER
4,66.57,9.45,7,2,90.02,1,SAME
12,79.19,16.97,19,3,68.54,4,SAME
12,92.09,29.91,14,1,83.33,4,HARDER
12,69.88,36.29,19,5,56.57,4,EASIER
9,100.0,14.06,9,0,100.0,3,HARDER
9,100.0,16.05,11,0,100.0,3,HARDER
4,81.24,15.52,6,1,99.83,1,SAME
4,99.75,10.59,4,0,100.0,1,HARDER
12,80.92,32.58,15,3,90.35,4,SAME
6,74.71,21.28,9,2,87.59,2,HARDER
4,81.08,10.38,5,1,100.0,1,HARDER
9,60.1,23.18,17,6,48.99,3,EASIER
12,74.98,19.82,20,4,55.82,4,SAME
12,79.49,20.53,17,3,75.51,4,HARDER
4,66.72,18.42,6,2,72.43,1,EASIER
4,98.98,13.96,4,0,95.25,1,HARDER
4,79.84,11.78,5,1,99.1,1,HARDER
4,78.06,15.39,5,1,97.14,1,HARDER
12,84.88,16.89,16,2,78.13,4,HARDER
9,90.37,20.48,11,1,92.3,3,HARDER
16,80.48,44.1,25,4,72.27,5,EASIER
9,90.57,15.34,11,1,80.36,3,HARDER
16,60.69,61.84,28,10,28.74,5,EASIER
12,79.44,22.46,17,3,66.24,4,HARDER
12,68.09,31.21,22,6,52.66,4,EASIER
4,99.26,9.99,4,0,94.29,1,HARDER
12,71.34,20.51,21,5,50.13,4,SAME
6,75.34,16.97,8,2,84.21,2,SAME
9,99.33,11.7,9,0,100.0,3,HARDER
12,74.88,45.11,19,4,64.17,4,EASIER
6,60.2,19.19,13,4,75.15,2,EASIER
12,92.19,14.33,14,1,99.45,4,HARDER
9,76.13,29.79,14,3,61.39,3,SAME
6,68.02,25.29,9,3,73.22,2,EASIER
12,74.96,35.15,20,4,60.51,4,SAME
6,99.43,11.45,6,0,98.76,2,HARDER
6,74.51,13.93,9,2,93.7,2,HARDER
9,88.04,17.13,12,1,72.84,3,HARDER
12,94.45,24.5,13,1,94.91,4,HARDER
16,76.69,36.45,25,5,68.35,5,EASIER
12,84.61,25.57,16,2,69.0,4,SAME
12,91.16,13.36,15,1,88.79,4,HARDER
16,63.48,28.41,31,9,25.75,5,EASIER
16,77.56,31.95,24,5,68.42,5,EASIER
9,81.05,28.46,11,2,75.66,3,SAME
4,99.88,10.43,4,0,100.0,1,HARDER
6,67.14,20.02,10,3,64.19,2,SAME
4,66.17,36.14,8,2,77.05,1,EASIER
9,78.79,25.53,12,2,95.68,3,HARDER
16,100.0,15.39,17,0,92.6,5,HARDER
16,74.14,37.23,25,5,62.12,5,EASIER
16,78.91,30.02,20,4,59.23,5,SAME
16,71.73,40.77,25,6,46.01,5,EASIER
4,97.36,8.42,4,0,100.0,1,HARDER
16,78.52,34.29,23,4,70.77,5,SAME
4,99.24,6.38,4,0,98.85,1,HARDER
9,99.49,24.12,10,0,100.0,3,HARDER
12,80.5,32.19,19,3,53.02,4,EASIER
4,68.3,15.8,7,2,83.39,1,EASIER
6,85.06,13.09,7,1,100.0,2,HARDER
4,78.67,7.8,6,1,87.65,1,SAME
6,75.35,14.45,8,2,88.77,2,SAME
4,99.86,11.11,4,0,100.0,1,HARDER
6,87.45,20.77,9,1,96.62,2,HARDER
4,78.77,21.38,5,1,92.59,1,SAME
12,75.71,23.59,19,4,62.23,4,SAME
16,73.9,26.62,26,6,41.64,5,EASIER
4,81.63,15.46,5,1,93.88,1,HARDER
12,66.16,43.55,22,6,46.67,4,EASIER
4,100.0,12.34,4,0,100.0,1,HARDER
4,97.97,10.92,4,0,100.0,1,HARDER
6,99.0,19.38,7,0,97.3,2,HARDER
12,69.95,22.06,27,5,37.95,4,EASIER
12,85.51,31.63,15,2,83.98,4,HARDER
4,79.94,10.09,5,1,94.94,1,HARDER
16,68.28,37.99,27,7,39.01,5,EASIER
6,98.2,20.97,7,0,100.0,2,HARDER
6,54.37,26.72,14,5,51.95,2,EASIER
4,68.81,15.35,6,2,86.76,1,SAME
6,74.99,19.14,9,2,76.44,2,SAME
9,100.0,13.7,9,0,96.74,3,HARDER
6,85.9,25.99,7,1,98.87,2,HARDER
6,75.11,25.36,9,2,100.0,2,SAME
6,85.0,22.23,9,1,81.1,2,SAME
4,80.25,18.45,5,1,84.28,1,SAME
12,70.13,49.01,20,5,69.62,4,EASIER
6,85.98,20.07,7,1,100.0,2,HARDER
4,98.67,10.6,4,0,98.97,1,HARDER
6,100.0,16.1,6,0,98.97,2,EASIER
4,99.2,9.83,4,0,100.0,1,HARDER
4,100.0,6.93,5,0,93.57,1,HARDER
4,100.0,29.33,5,0,99.27,1,HARDER
4,80.1,12.48,7,1,89.99,1,HARDER
6,100.0,13.87,6,0,97.38,2,HARDER
16,92.6,39.02,17,1,95.38,5,HARDER
16,85.51,64.81,22,3,66.62,5,HARDER
12,75.18,27.21,22,4,57.15,4,EASIER
6,85.26,22.5,9,1,91.81,2,HARDER
12,71.52,40.68,21,5,55.55,4,EASIER
12,79.76,12.69,18,3,70.48,4,SAME
4,99.13,8.5,4,0,100.0,1,HARDER
9,82.15,14.29,12,2,98.05,3,HARDER
9,70.74,19.84,14,4,61.73,3,SAME
12,86.95,24.88,16,2,75.1,4,HARDER
9,88.4,13.31,11,1,92.34,3,HARDER
12,92.64,28.9,13,1,100.0,4,HARDER
4,100.0,16.3,4,0,92.17,1,HARDER
9,92.27,16.53,11,1,96.1,3,HARDER
9,68.58,36.59,14,4,71.14,3,EASIER
4,100.0,11.5,4,0,100.0,1,HARDER
16,80.16,39.47,23,4,62.18,5,SAME
9,83.74,41.62,14,2,84.14,3,SAME
9,89.1,23.45,10,1,76.35,3,HARDER
6,86.77,18.57,9,1,94.5,2,HARDER
12,91.62,29.2,15,1,92.01,4,HARDER
16,81.44,27.57,22,4,55.74,5,SAME
4,80.38,12.35,5,1,96.77,1,HARDER
6,75.82,10.78,8,2,95.68,2,HARDER
12,85.41,32.83,15,2,78.62,4,HARDER
16,93.27,17.24,18,1,79.63,5,HARDER
6,87.59,27.48,9,1,87.28,2,HARDER
12,85.6,23.79,16,2,81.22,4,HARDER
4,100.0,11.82,4,0,88.45,1,HARDER
4,78.01,13.74,5,1,98.18,1,HARDER
6,87.64,10.11,9,1,87.09,2,HARDER
9,74.55,19.98,12,3,81.61,3,SAME
4,65.99,10.93,7,2,91.09,1,SAME
4,100.0,12.97,4,0,95.15,1,HARDER
9,64.98,20.42,17,5,66.8,3,EASIER
12,75.15,23.96,22,4,47.55,4,EASIER
9,79.76,22.12,14,2,73.55,3,HARDER
6,100.0,18.59,6,0,96.05,2,HARDER
12,87.16,26.57,15,2,87.12,4,HARDER
4,100.0,8.59,4,0,100.0,1,HARDER
12,72.76,19.86,22,5,65.48,4,SAME
9,80.56,20.41,13,2,58.36,3,HARDER
4,98.98,10.26,4,0,96.94,1,HARDER
4,56.75,16.25,8,3,75.94,1,EASIER
9,100.0,10.37,10,0,100.0,3,HARDER
6,86.28,15.92,9,1,92.45,2,HARDER
12,73.88,24.96,17,4,80.19,4,HARDER
4,81.06,17.62,8,1,95.16,1,SAME
4,80.57,15.96,5,1,97.59,1,HARDER
12,76.29,27.47,21,4,66.8,4,EASIER
9,75.33,24.72,15,3,67.15,3,SAME
6,86.23,9.86,7,1,92.91,2,HARDER
12,80.85,31.69,17,3,73.47,4,SAME
9,70.65,17.92,14,4,67.66,3,SAME
4,100.0,6.33,4,0,85.69,1,HARDER
4,67.83,21.29,7,2,75.68,1,SAME
12,86.52,36.99,16,2,74.15,4,HARDER
4,81.71,18.75,5,1,96.48,1,SAME
6,99.6,12.87,6,0,100.0,2,HARDER
16,67.39,44.71,25,8,45.44,5,EASIER
9,99.91,16.23,9,0,99.71,3,HARDER
6,84.84,13.87,7,1,100.0,2,HARDER
6,66.73,17.4,14,3,73.69,2,EASIER
16,84.05,35.76,22,3,61.53,5,HARDER
9,70.45,35.29,14,4,42.05,3,SAME
16,75.62,32.18,25,5,49.61,5,SAME
9,74.16,25.5,13,3,70.62,3,SAME
16,82.88,43.89,24,3,61.96,5,HARDER
6,74.69,22.87,9,2,83.22,2,SAME
12,85.87,29.05,18,2,83.05,4,HARDER
9,74.06,20.64,15,3,62.15,3,SAME
9,69.67,47.95,14,4,69.64,3,EASIER
12,62.52,39.24,21,7,46.95,4,EASIER
4,100.0,10.49,4,0,100.0,1,HARDER
6,98.12,14.66,6,0,89.77,2,HARDER
9,100.0,20.09,9,0,100.0,3,HARDER
9,89.63,12.85,10,1,89.89,3,HARDER
9,83.01,24.65,13,2,82.55,3,SAME
6,84.29,15.48,11,1,100.0,2,HARDER
6,83.79,16.97,7,1,98.41,2,HARDER
4,99.5,18.43,4,0,100.0,1,HARDER
16,86.89,30.77,21,3,81.31,5,HARDER
12,73.26,35.11,18,4,75.07,4,EASIER
16,60.23,40.61,32,10,19.34,5,EASIER
6,100.0,11.84,6,0,100.0,2,HARDER
16,95.36,22.21,20,1,88.04,5,HARDER
12,85.73,26.81,15,2,78.31,4,HARDER
6,87.44,13.53,7,1,96.61,2,HARDER
16,89.87,18.85,22,2,71.04,5,HARDER
12,80.3,16.57,17,3,75.83,4,SAME
6,75.43,29.37,11,2,81.92,2,SAME
16,72.47,79.65,26,6,36.15,5,EASIER
16,66.92,56.53,31,8,43.43,5,EASIER
12,75.91,23.28,18,4,80.37,4,SAME
16,82.06,39.92,25,4,54.7,5,SAME
6,86.53,14.79,7,1,90.35,2,HARDER
9,65.66,24.96,16,5,53.95,3,EASIER
6,98.7,16.53,8,0,87.07,2,HARDER
4,99.94,16.58,4,0,100.0,1,HARDER
4,80.11,15.32,5,1,99.44,1,HARDER
9,68.42,22.82,17,4,59.31,3,EASIER
