current_level,accuracy,response_time,total_attempts,mistakes,previous_score,hint_used,difficulty_score,difficulty_change
3,75.52,56.22,9,1,75.31,0,2.042,EASIER
3,74.84,30.54,7,1,67.61,0,1.881,SAME
3,70.85,35.4,8,2,64.16,0,2.073,EASIER
1,77.4,25.41,6,0,71.57,0,0.908,SAME
1,85.58,17.0,7,1,80.11,0,0.83,HARDER
2,86.16,25.89,6,0,87.97,0,1.18,HARDER
1,100.0,16.5,6,0,72.91,0,0.51,HARDER
3,82.95,24.88,7,1,88.68,0,1.722,SAME
4,86.67,49.28,8,1,75.49,0,2.229,SAME
4,60.22,49.1,7,1,66.91,0,2.624,EASIER
3,75.67,44.84,7,1,78.08,1,1.964,EASIER
5,77.11,49.93,8,1,71.68,0,2.776,SAME
3,83.43,19.18,6,0,80.77,0,1.576,EASIER
1,81.39,28.03,9,2,74.52,0,1.066,SAME
4,84.34,29.82,9,1,78.43,0,2.134,SAME
3,74.69,22.95,6,0,66.22,0,1.733,SAME
4,67.23,32.33,9,3,65.95,0,2.607,EASIER
3,84.87,15.43,7,1,86.05,0,1.63,HARDER
3,80.06,28.42,6,0,84.15,0,1.689,SAME
1,84.77,23.06,7,1,76.85,0,0.882,SAME
3,74.43,26.06,9,2,70.15,0,1.957,EASIER
4,64.3,68.32,7,1,60.4,1,2.691,EASIER
2,81.04,39.99,9,1,80.91,0,1.451,SAME
4,86.0,57.09,9,2,81.17,0,2.391,SAME
1,92.45,8.3,6,0,83.0,0,0.569,HARDER
2,94.59,42.59,6,0,82.85,0,1.165,HARDER
3,85.16,28.19,8,2,82.78,0,1.811,SAME
5,63.88,97.85,13,4,65.14,0,3.594,EASIER
2,68.51,18.85,8,2,72.01,0,1.598,EASIER
2,75.73,22.69,13,4,73.24,0,1.715,EASIER
3,73.29,32.13,12,4,76.91,0,2.215,EASIER
5,62.51,34.44,9,3,68.46,0,3.092,EASIER
5,79.81,26.15,7,1,72.73,0,2.577,SAME
1,99.71,6.9,6,0,88.04,0,0.45,HARDER
2,100.0,78.19,6,0,80.41,0,1.321,HARDER
5,62.36,25.65,12,4,66.87,0,3.136,EASIER
1,100.0,9.29,6,0,84.18,0,0.462,HARDER
5,85.91,62.85,7,1,82.5,0,2.73,SAME
2,82.68,13.58,8,1,72.69,0,1.25,SAME
5,74.74,26.26,8,2,70.04,0,2.754,EASIER
2,97.41,7.6,6,0,81.15,1,0.89,HARDER
3,79.41,34.85,8,1,82.85,0,1.841,SAME
4,73.64,26.07,13,4,74.69,0,2.569,EASIER
1,83.73,23.28,8,1,81.38,1,0.899,SAME
3,56.4,30.07,6,0,53.01,0,2.054,EASIER
3,80.7,32.08,7,1,75.55,0,1.803,SAME
4,67.9,33.37,12,3,71.57,0,2.604,EASIER
5,59.25,44.78,6,0,67.62,0,2.91,EASIER
4,79.22,27.97,6,0,73.67,1,2.098,SAME
3,65.49,22.51,10,3,63.86,0,2.168,HARDER
3,88.06,20.01,6,0,77.03,0,1.512,HARDER
3,84.84,56.8,10,2,84.55,0,2.006,SAME
5,66.0,42.67,7,1,57.61,0,2.895,HARDER
2,84.37,9.7,10,2,80.1,0,1.299,SAME
1,78.1,19.96,9,2,62.27,0,1.062,EASIER
2,92.5,17.4,9,2,89.1,0,1.228,HARDER
1,91.87,17.68,7,1,79.95,0,0.74,HARDER
1,92.62,16.16,6,0,90.34,0,0.618,HARDER
1,95.02,32.67,9,2,80.52,0,0.893,SAME
4,68.58,34.31,7,1,70.41,0,2.4,EASIER
4,59.81,55.44,10,3,65.95,0,2.872,EASIER
4,84.57,53.15,9,1,77.34,0,2.286,SAME
3,86.89,17.95,6,0,72.06,0,1.516,HARDER
4,69.65,43.12,8,2,65.44,0,2.543,EASIER
1,94.09,13.29,6,0,81.36,0,0.577,HARDER
5,82.58,30.83,6,0,82.02,0,2.467,HARDER
3,91.39,19.15,7,1,82.66,0,1.557,HARDER
5,64.35,69.45,6,0,70.45,0,2.998,EASIER
1,75.11,51.81,13,4,81.68,0,1.519,EASIER
3,66.83,22.46,10,2,57.19,0,2.047,EASIER
4,71.88,43.61,13,4,72.29,1,2.712,EASIER
3,94.62,35.1,6,0,83.88,0,1.515,HARDER
3,72.72,25.08,10,2,75.01,0,1.976,EASIER
1,84.04,31.61,6,0,77.51,0,0.85,SAME
2,78.83,57.79,13,4,76.08,0,1.903,EASIER
2,79.68,18.9,8,1,69.74,0,1.331,SAME
2,84.89,48.03,6,0,74.91,0,1.347,SAME
4,62.2,32.14,9,2,65.54,0,2.581,EASIER
4,85.84,27.13,8,2,72.39,0,2.193,SAME
4,73.55,37.83,11,3,66.25,0,2.549,HARDER
2,100.0,33.98,6,0,90.39,0,1.027,HARDER
5,58.26,47.96,11,4,62.6,0,3.346,EASIER
1,100.0,24.18,6,0,86.73,0,0.561,HARDER
2,98.91,26.28,7,1,87.58,0,1.091,HARDER
1,85.88,30.92,6,0,77.71,0,0.818,HARDER
2,81.05,29.68,8,2,75.29,0,1.482,SAME
5,60.79,92.23,7,1,59.99,0,3.303,EASIER
2,75.9,17.03,6,0,65.78,0,1.275,SAME
5,69.99,46.09,7,1,74.61,0,2.857,EASIER
3,80.21,30.98,8,2,79.48,0,1.903,SAME
4,58.98,28.43,14,5,54.31,0,2.905,EASIER
3,100.0,20.72,6,0,83.08,0,1.338,HARDER
2,82.4,27.96,7,1,87.44,1,1.35,SAME
4,75.66,52.19,11,3,76.34,0,2.613,EASIER
5,63.74,52.3,9,3,72.15,0,3.193,EASIER
2,82.33,36.66,8,1,72.97,0,1.409,SAME
4,71.42,25.73,7,1,75.03,0,2.3,SAME
2,84.97,20.52,6,0,76.11,0,1.162,HARDER
4,74.85,24.95,8,2,67.35,0,2.344,EASIER
4,83.05,42.29,8,1,79.49,0,2.236,SAME
3,82.27,37.68,8,1,72.02,0,1.817,SAME
4,82.04,68.42,6,0,75.63,1,2.325,SAME
2,84.9,14.99,6,0,76.81,0,1.126,HARDER
1,92.31,20.89,7,1,72.24,0,0.755,HARDER
1,87.59,31.97,9,1,71.98,0,0.899,SAME
3,90.03,20.77,6,0,83.86,0,1.488,HARDER
5,73.23,30.49,6,0,68.55,0,2.605,SAME
1,88.42,9.98,6,0,85.89,0,0.64,HARDER
3,78.12,39.8,9,2,76.1,0,1.993,SAME
4,73.91,29.92,11,3,71.75,0,2.491,EASIER
2,85.3,29.06,6,0,88.34,0,1.214,HARDER
4,74.44,36.69,6,0,75.41,1,2.228,SAME
2,79.41,49.32,6,0,77.01,0,1.438,SAME
5,77.65,68.52,10,2,78.0,0,2.992,EASIER
3,88.28,22.48,9,2,83.91,0,1.726,SAME
3,97.84,27.47,6,0,87.58,0,1.416,HARDER
1,83.96,24.67,10,3,80.24,1,1.105,SAME
3,86.66,20.22,9,3,77.6,0,1.835,SAME
5,50.91,80.23,12,4,61.5,0,3.671,EASIER
1,98.29,16.29,6,0,86.72,0,0.534,HARDER
4,60.43,55.28,14,5,66.54,0,3.062,EASIER
3,70.16,28.66,9,3,67.71,0,2.139,EASIER
4,78.32,32.44,7,1,63.98,0,2.241,SAME
4,68.79,30.38,10,3,70.83,0,2.571,EASIER
3,72.42,61.99,8,1,82.56,0,2.127,EASIER
2,80.15,21.33,12,3,71.87,0,1.54,EASIER
4,82.3,137.16,7,1,77.15,0,2.88,EASIER
1,80.67,19.13,10,2,78.25,0,1.017,SAME
3,79.46,22.06,6,0,78.05,0,1.655,SAME
1,86.21,9.55,9,2,84.85,0,0.87,SAME
4,83.2,65.5,6,0,76.32,0,2.289,SAME
4,83.48,37.02,8,2,75.63,0,2.295,SAME
1,71.65,25.01,7,1,65.68,0,1.092,HARDER
4,85.45,101.27,6,0,82.34,0,2.493,SAME
3,73.89,40.51,9,2,76.73,0,2.062,EASIER
4,77.36,45.78,7,1,76.47,0,2.345,SAME
1,80.61,29.4,6,0,77.57,0,0.887,SAME
1,93.71,24.83,7,1,84.48,0,0.76,HARDER
3,100.0,18.71,6,0,95.71,1,1.325,HARDER
1,91.27,30.67,6,0,92.3,0,0.735,HARDER
2,80.4,23.56,8,2,75.94,0,1.451,SAME
4,72.68,74.1,8,2,67.2,0,2.704,EASIER
1,75.31,22.05,10,2,67.0,0,1.117,EASIER
4,89.49,64.42,6,0,86.85,0,2.187,SAME
1,93.13,16.45,6,0,79.08,0,0.613,HARDER
1,79.51,9.81,6,0,73.64,0,0.773,SAME
3,69.84,38.84,13,4,66.37,0,2.311,EASIER
4,75.15,59.12,9,2,81.65,0,2.567,EASIER
1,99.32,14.41,6,0,93.46,0,0.506,HARDER
2,73.49,22.13,12,4,79.6,0,1.745,EASIER
5,81.13,20.62,9,2,75.37,0,2.62,SAME
5,69.08,46.99,8,1,74.78,0,2.877,EASIER
3,70.7,18.8,8,2,74.77,0,1.965,EASIER
3,75.32,38.13,7,1,75.54,0,1.924,SAME
2,100.0,27.44,6,0,86.19,0,0.983,HARDER
4,61.12,40.24,7,1,64.27,1,2.552,EASIER
3,72.68,52.62,8,2,74.15,0,2.161,EASIER
2,94.53,26.43,8,1,85.02,0,1.158,HARDER
1,92.16,19.45,6,0,81.13,0,0.647,HARDER
1,82.09,20.47,10,3,87.07,0,1.105,SAME
5,79.65,39.6,7,1,78.57,0,2.669,SAME
3,90.12,46.09,7,1,82.72,0,1.755,SAME
3,83.31,21.49,6,0,82.65,0,1.594,HARDER
3,73.88,36.71,10,2,78.36,0,2.037,EASIER
4,70.42,65.13,7,1,65.33,0,2.578,EASIER
1,92.85,11.94,6,0,74.7,0,0.587,HARDER
1,76.88,10.52,7,1,76.17,0,0.917,SAME
2,98.28,15.81,6,0,93.36,0,0.931,HARDER
3,97.0,64.12,6,0,93.87,0,1.672,HARDER
4,72.64,31.35,8,1,74.62,0,2.319,SAME
3,83.56,19.18,12,4,72.65,1,1.974,EASIER
3,91.86,35.89,6,0,86.07,0,1.561,HARDER
5,89.56,16.82,6,0,86.03,0,2.269,HARDER
1,100.0,12.29,6,0,87.94,0,0.482,SAME
3,62.64,54.58,6,0,69.05,1,2.124,EASIER
3,76.84,21.15,9,2,67.57,0,1.888,SAME
3,85.01,27.93,8,1,87.96,0,1.711,HARDER
5,65.06,56.24,11,3,63.61,1,3.199,EASIER
2,100.0,27.0,6,0,81.26,0,0.98,HARDER
5,86.29,40.41,8,1,76.61,0,2.575,SAME
2,76.84,29.86,8,1,78.26,0,1.446,SAME
3,78.38,55.28,8,1,79.45,0,1.993,SAME
3,72.5,20.27,6,0,72.34,0,1.748,SAME
5,68.05,41.19,6,0,58.09,0,2.754,EASIER
3,77.75,29.72,8,1,69.74,0,1.832,SAME
2,94.54,31.75,6,0,84.0,0,1.094,HARDER
1,81.12,18.24,6,0,75.52,0,0.805,SAME
2,58.83,22.81,7,1,56.59,0,1.67,EASIER
5,53.95,26.9,8,2,58.55,0,3.07,EASIER
1,79.72,11.44,6,0,81.38,0,0.781,HARDER
5,63.44,54.01,7,1,66.01,0,3.008,EASIER
3,81.87,25.24,6,0,85.31,0,1.64,HARDER
1,79.2,15.7,6,0,75.61,0,0.817,SAME
2,72.89,23.41,9,1,79.46,0,1.463,SAME
3,70.71,79.1,9,2,79.45,0,2.367,EASIER
2,73.84,19.67,6,0,74.47,0,1.323,SAME
1,84.46,31.35,6,0,80.12,0,0.842,HARDER
4,69.03,67.65,8,2,75.96,1,2.716,EASIER
4,81.89,55.17,6,0,83.53,0,2.239,SAME
1,80.1,12.82,9,1,75.06,0,0.884,SAME
2,81.42,25.35,10,2,75.82,0,1.448,SAME
2,79.55,20.53,6,0,78.56,1,1.244,SAME
4,83.09,89.54,6,0,72.0,0,2.451,EASIER
4,73.46,47.14,9,2,74.7,1,2.512,EASIER
4,85.51,36.73,6,0,80.27,0,2.062,HARDER
5,58.48,102.1,13,4,56.86,0,3.704,EASIER
4,74.51,34.74,8,1,70.87,0,2.314,SAME
2,79.24,29.93,12,3,78.65,0,1.611,EASIER
1,77.74,23.84,10,2,73.99,0,1.093,SAME
4,74.32,45.96,9,2,74.38,0,2.492,EASIER
5,87.33,47.92,6,0,85.01,0,2.51,HARDER
5,61.47,69.9,6,0,72.59,0,3.044,EASIER
2,83.73,18.65,6,0,77.03,0,1.168,HARDER
2,71.88,37.47,7,1,70.59,0,1.572,EASIER
1,75.41,16.08,6,0,74.41,0,0.876,SAME
1,82.13,30.74,6,0,87.89,0,0.873,HARDER
3,75.5,47.11,9,1,79.2,0,1.982,SAME
3,75.94,38.62,10,2,69.28,0,2.018,EASIER
2,82.74,23.15,7,1,70.66,0,1.313,SAME
2,68.52,37.3,11,4,75.78,1,1.921,EASIER
5,63.74,62.83,11,3,67.01,1,3.263,HARDER
3,85.02,8.56,9,2,87.34,0,1.682,SAME
5,56.42,36.05,11,3,69.19,0,3.194,EASIER
5,66.45,53.49,9,1,65.37,0,2.96,EASIER
2,87.93,26.84,6,0,81.38,0,1.16,HARDER
2,77.18,31.85,7,1,78.69,0,1.455,SAME
5,73.42,92.9,11,3,68.07,0,3.318,EASIER
4,59.79,50.58,11,4,64.04,0,2.94,EASIER
2,93.88,10.43,6,0,84.62,0,0.961,HARDER
4,78.66,43.29,9,2,73.32,0,2.409,EASIER
3,80.56,50.42,7,1,80.54,0,1.928,SAME
5,81.25,52.28,10,2,76.99,0,2.83,SAME
2,81.71,26.03,8,1,73.49,0,1.348,SAME
5,63.82,41.03,9,2,70.98,0,3.016,EASIER
5,83.73,73.09,6,0,85.07,0,2.731,SAME
1,100.0,15.63,6,0,94.67,0,0.504,EASIER
1,83.07,22.82,9,1,75.64,0,0.906,SAME
3,78.86,36.8,6,0,78.04,0,1.762,SAME
1,100.0,18.39,6,0,90.35,0,0.523,HARDER
2,84.22,29.13,7,1,79.86,0,1.331,SAME
3,85.95,33.6,9,2,83.26,0,1.835,SAME
5,77.8,83.34,9,1,78.53,0,2.989,EASIER
5,64.38,65.54,6,0,74.68,0,2.971,EASIER
1,94.19,27.28,9,1,88.51,0,0.769,HARDER
5,69.94,36.84,12,4,72.11,0,3.096,EASIER
1,77.83,12.93,7,1,77.42,1,0.919,SAME
4,65.1,41.02,8,2,75.78,0,2.597,EASIER
5,63.48,67.48,7,1,58.78,0,3.098,EASIER
5,79.29,61.84,7,1,81.88,0,2.823,SAME
2,94.61,17.77,6,0,89.11,0,0.999,HARDER
5,77.5,68.32,8,1,75.31,1,2.893,EASIER
1,94.4,14.0,6,0,87.9,0,0.577,HARDER
3,84.13,40.59,8,2,86.85,0,1.909,SAME
3,82.78,34.76,8,1,81.24,0,1.79,EASIER
2,89.08,21.93,6,0,85.6,0,1.11,HARDER
1,94.75,14.53,6,0,86.2,0,0.576,HARDER
4,60.96,42.19,15,6,68.94,1,3.067,EASIER
2,77.1,24.81,7,1,79.61,0,1.409,SAME
4,64.71,26.32,7,1,56.31,0,2.405,EASIER
3,91.07,39.44,7,1,85.66,0,1.697,HARDER
2,100.0,38.12,6,0,100.0,0,1.054,HARDER
5,48.31,70.55,12,4,64.95,0,3.646,EASIER
1,100.0,20.42,6,0,95.68,0,0.536,HARDER
4,75.87,33.41,11,3,74.37,0,2.485,EASIER
4,85.13,42.12,7,1,86.48,0,2.204,SAME
2,90.06,22.77,7,1,84.96,0,1.201,HARDER
2,99.4,25.22,6,0,80.6,0,0.977,HARDER
1,92.1,26.18,6,0,84.14,0,0.693,HARDER
5,56.37,47.89,14,5,53.74,1,3.474,EASIER
5,68.94,23.98,6,0,69.43,1,2.626,SAME
2,90.16,33.05,6,0,95.5,0,1.168,HARDER
1,87.84,21.1,6,0,78.49,0,0.723,HARDER
1,96.58,19.11,6,0,92.27,0,0.579,HARDER
1,89.34,11.25,6,0,75.57,0,0.635,HARDER
5,64.04,35.84,8,1,67.58,0,2.878,EASIER
5,59.14,37.56,9,2,54.76,1,3.063,EASIER
1,86.08,14.25,8,2,73.65,1,0.904,SAME
4,77.05,32.88,9,1,78.39,0,2.264,SAME
1,70.41,11.22,8,2,69.56,0,1.119,EASIER
2,77.2,56.75,8,2,74.31,0,1.72,EASIER
3,60.03,56.53,7,1,63.61,0,2.276,EASIER
4,68.83,44.69,6,0,58.14,0,2.365,EASIER
5,81.97,49.33,9,1,75.54,0,2.699,SAME
1,78.14,37.37,10,3,75.27,0,1.277,EASIER
1,97.03,34.46,6,0,89.64,0,0.674,HARDER
2,100.0,17.85,6,0,75.68,0,0.919,HARDER
2,99.54,26.5,6,0,94.67,0,0.984,HARDER
5,71.34,46.48,8,1,65.37,0,2.84,EASIER
4,83.58,35.91,6,0,81.75,0,2.086,SAME
2,71.3,22.46,7,1,71.26,0,1.48,SAME
5,54.27,48.32,7,1,64.85,0,3.108,EASIER
3,80.29,33.73,9,2,84.89,0,1.921,SAME
3,83.99,33.8,6,0,79.56,0,1.666,SAME
3,90.94,55.11,6,0,85.07,0,1.703,HARDER
1,84.31,13.03,6,0,67.09,0,0.722,SAME
5,71.93,73.61,10,2,67.26,0,3.112,EASIER
1,91.59,11.71,6,0,79.01,0,0.604,HARDER
1,88.69,19.79,7,1,81.84,0,0.802,HARDER
2,84.28,36.43,7,1,78.98,0,1.379,SAME
2,76.45,30.13,13,4,73.65,1,1.754,EASIER
1,92.8,15.86,6,0,86.5,0,0.614,HARDER
1,91.95,20.17,6,0,95.64,0,0.655,HARDER
4,70.6,77.46,10,2,74.6,0,2.757,EASIER
5,76.66,39.46,9,1,77.71,0,2.713,SAME
1,100.0,22.58,6,0,89.74,0,0.551,HARDER
2,91.77,35.31,6,0,84.47,0,1.159,HARDER
3,69.58,26.54,8,2,72.12,0,2.033,EASIER
5,71.0,100.1,8,1,70.83,1,3.202,EASIER
4,65.89,91.67,13,4,76.61,0,3.123,EASIER
4,75.97,61.96,12,3,69.65,0,2.674,EASIER
3,70.92,48.06,7,1,74.4,1,2.057,EASIER
3,92.77,15.53,8,1,81.16,0,1.512,HARDER
1,97.83,10.61,8,1,90.34,0,0.603,HARDER
5,81.53,48.34,9,2,80.33,1,2.799,EASIER
5,80.52,38.43,8,1,79.12,0,2.648,SAME
1,87.29,23.12,7,1,80.28,0,0.845,HARDER
4,70.74,12.81,7,1,64.17,1,2.224,EASIER
1,100.0,23.06,6,0,87.71,0,0.554,HARDER
4,73.35,37.28,12,3,74.7,0,2.548,EASIER
5,56.45,40.26,10,2,49.79,0,3.122,EASIER
1,100.0,38.59,6,0,91.48,0,0.657,HARDER
3,81.44,27.41,7,1,76.12,0,1.761,SAME
1,100.0,9.43,6,0,82.95,0,0.463,HARDER
3,82.43,37.22,6,0,78.96,0,1.712,SAME
5,69.8,58.26,10,3,78.14,0,3.141,EASIER
1,100.0,16.79,6,0,95.55,0,0.512,HARDER
2,69.62,61.47,9,2,65.33,0,1.866,EASIER
5,64.15,54.38,7,1,77.53,0,3.0,EASIER
2,76.13,36.02,10,3,77.07,0,1.698,EASIER
1,68.05,20.48,7,1,73.11,0,1.116,SAME
3,88.73,51.53,6,0,82.64,1,1.713,SAME
3,74.43,27.16,7,1,71.29,0,1.865,SAME
4,84.05,26.14,6,0,70.68,0,2.013,SAME
2,88.89,32.6,8,1,90.61,0,1.284,HARDER
5,76.07,56.36,8,2,76.05,0,2.935,EASIER
3,75.45,42.61,10,2,72.53,0,2.052,EASIER
2,77.36,18.75,10,1,80.85,0,1.365,SAME
5,70.9,60.59,7,1,71.91,1,2.94,EASIER
5,79.19,26.43,8,1,69.46,0,2.588,SAME
3,79.5,25.59,7,1,76.23,0,1.778,SAME
1,82.98,13.58,6,0,75.95,0,0.746,HARDER
3,68.01,37.8,6,0,66.49,0,1.932,EASIER
3,82.04,25.54,9,2,85.94,0,1.84,SAME
1,84.46,10.39,6,0,82.24,0,0.702,HARDER
4,74.28,31.87,11,4,76.93,0,2.598,EASIER
5,67.61,63.52,9,2,74.94,0,3.109,EASIER
1,85.56,18.97,6,0,83.95,0,0.743,HARDER
4,77.94,29.69,9,1,78.96,0,2.229,SAME
1,95.55,25.18,7,1,89.98,0,0.735,HARDER
4,94.65,74.82,6,0,86.98,0,2.179,HARDER
3,87.58,44.59,6,0,82.44,0,1.684,HARDER
1,100.0,7.15,6,0,85.87,0,0.448,HARDER
5,61.81,54.98,11,2,63.1,0,3.139,EASIER
1,73.99,17.01,8,2,74.54,0,1.104,SAME
3,79.86,13.73,10,2,77.76,0,1.794,SAME
1,98.58,10.74,6,0,85.22,0,0.493,HARDER
5,77.01,68.83,9,2,73.85,0,3.004,EASIER
4,87.11,43.08,6,0,79.43,0,2.081,SAME
5,44.63,51.64,11,4,59.96,0,3.575,EASIER
3,92.53,23.9,8,1,84.47,0,1.571,HARDER
3,83.35,47.79,6,0,76.47,0,1.768,SAME
4,59.56,24.46,10,3,57.71,0,2.67,EASIER
4,82.24,28.04,6,0,72.1,0,2.053,SAME
5,71.69,44.03,7,1,63.47,0,2.818,EASIER
1,93.81,9.78,6,0,88.48,0,0.558,HARDER
4,84.99,28.11,9,1,73.8,0,2.113,SAME
1,94.3,27.52,6,0,80.41,1,0.669,HARDER
2,70.27,17.12,8,1,58.68,1,1.46,EASIER
5,68.57,68.33,8,1,65.7,0,3.027,EASIER
2,68.82,30.94,12,4,60.29,0,1.874,EASIER
4,81.49,37.39,7,1,69.07,1,2.227,SAME
3,93.98,17.57,6,0,89.43,0,1.407,HARDER
